artifact,column,role,dtype,description,source_url
features_t0/features_t1,latest_oos_recency_advantage_days,model_candidate_feature,float64,Latest oos recency advantage days.,
features_t0/features_t1,historical_oos_only,model_candidate_feature,int64,"OOS history exists, latest DE evidence is newer, and no OOS evidence occurs in the latest 365 days.",
features_t0/features_t1,oos_evidence_after_latest_de_count,model_candidate_feature,int64,Oos evidence after latest de count.,
features_t0/features_t1,de_evidence_after_latest_oos_count,model_candidate_feature,int64,De evidence after latest oos count.,
features_t0/features_t1,recent_oos_after_latest_de_present,model_candidate_feature,int64,Recent oos after latest de present.,
features_t0/features_t1,recent_oos_independent_source_count_90d,model_candidate_feature,int64,Distinct canonical sources with OOS records dated within 90 days of the phase as-of date.,
features_t0/features_t1,recent_de_independent_source_count_90d,model_candidate_feature,int64,Distinct canonical sources with DE records dated within 90 days of the phase as-of date.,
features_t0/features_t1,recent_oos_cross_source_confirmation_present_90d,model_candidate_feature,int64,At least two independent canonical sources contain OOS evidence in the latest 90 days.,
features_t0/features_t1,oos_decay_90d,model_candidate_feature,float64,Oos decay 90d.,
features_t0/features_t1,de_decay_90d,model_candidate_feature,float64,De decay 90d.,
features_t0/features_t1,oos_decay_share_90d,model_candidate_feature,float64,Oos decay share 90d.,
features_t0/features_t1,oos_decay_365d,model_candidate_feature,float64,Oos decay 365d.,
features_t0/features_t1,de_decay_365d,model_candidate_feature,float64,De decay 365d.,
features_t0/features_t1,oos_decay_share_365d,model_candidate_feature,float64,Oos decay share 365d.,
features_t0/features_t1,oos_to_de_transition_count,model_candidate_feature,int64,Oos to de transition count.,
features_t0/features_t1,de_to_oos_transition_count,model_candidate_feature,int64,De to oos transition count.,
features_t0/features_t1,latest_source_de_count,model_candidate_feature,int64,Latest source de count.,
features_t0/features_t1,latest_source_oos_count,model_candidate_feature,int64,Latest source oos count.,
features_t0/features_t1,latest_source_oos_share,model_candidate_feature,float64,Latest source oos share.,
features_t0/features_t1,cross_source_conflict_count,model_candidate_feature,int64,Cross source conflict count.,
features_t0/features_t1,cross_source_conflict_present,model_candidate_feature,int64,Cross source conflict present.,
features_t0/features_t1,recent_latest_source_de_count_365d,model_candidate_feature,int64,Recent latest source de count 365d.,
features_t0/features_t1,recent_latest_source_oos_count_365d,model_candidate_feature,int64,Recent latest source oos count 365d.,
features_t0/features_t1,historical_latest_source_oos_count,model_candidate_feature,int64,Historical latest source oos count.,
features_t0/features_t1,recent_cross_source_conflict_count_365d,model_candidate_feature,int64,Recent cross source conflict count 365d.,
features_t0/features_t1,recent_cross_source_conflict_present_365d,model_candidate_feature,int64,Recent cross source conflict present 365d.,
features_t0/features_t1,recency_weighted_latest_source_oos,model_candidate_feature,float64,Recency weighted latest source oos.,
features_t0/features_t1,address_record_count,model_candidate_feature,int64,Address record count.,
features_t0/features_t1,address_de_count,model_candidate_feature,int64,Address de count.,
features_t0/features_t1,address_oos_count,model_candidate_feature,int64,Address oos count.,
features_t0/features_t1,address_state_missing_count,model_candidate_feature,int64,Address state missing count.,
features_t0/features_t1,address_latest_is_de,model_candidate_feature,int64,Address latest is de.,
features_t0/features_t1,address_latest_is_oos,model_candidate_feature,int64,Address latest is oos.,
features_t0/features_t1,days_since_address_latest_record,model_candidate_feature,float64,Days since address latest record.,
features_t0/features_t1,days_since_address_latest_oos,model_candidate_feature,float64,Days since address latest oos.,
features_t0/features_t1,days_since_address_latest_de,model_candidate_feature,float64,Days since address latest de.,
features_t0/features_t1,license_record_count,model_candidate_feature,int64,License record count.,
features_t0/features_t1,license_de_count,model_candidate_feature,int64,License de count.,
features_t0/features_t1,license_oos_count,model_candidate_feature,int64,License oos count.,
features_t0/features_t1,license_state_missing_count,model_candidate_feature,int64,License state missing count.,
features_t0/features_t1,license_latest_is_de,model_candidate_feature,int64,License latest is de.,
features_t0/features_t1,license_latest_is_oos,model_candidate_feature,int64,License latest is oos.,
features_t0/features_t1,days_since_license_latest_record,model_candidate_feature,float64,Days since license latest record.,
features_t0/features_t1,days_since_license_latest_oos,model_candidate_feature,float64,Days since license latest oos.,
features_t0/features_t1,days_since_license_latest_de,model_candidate_feature,float64,Days since license latest de.,
features_t0/features_t1,title_record_count,model_candidate_feature,int64,Title record count.,
features_t0/features_t1,title_de_count,model_candidate_feature,int64,Title de count.,
features_t0/features_t1,title_oos_count,model_candidate_feature,int64,Title oos count.,
features_t0/features_t1,title_state_missing_count,model_candidate_feature,int64,Title state missing count.,
features_t0/features_t1,title_latest_is_de,model_candidate_feature,int64,Title latest is de.,
features_t0/features_t1,title_latest_is_oos,model_candidate_feature,int64,Title latest is oos.,
features_t0/features_t1,days_since_title_latest_record,model_candidate_feature,float64,Days since title latest record.,
features_t0/features_t1,days_since_title_latest_oos,model_candidate_feature,float64,Days since title latest oos.,
features_t0/features_t1,days_since_title_latest_de,model_candidate_feature,float64,Days since title latest de.,
features_t0/features_t1,external_record_count,model_candidate_feature,int64,External record count.,
features_t0/features_t1,external_de_count,model_candidate_feature,int64,External de count.,
features_t0/features_t1,external_oos_count,model_candidate_feature,int64,External oos count.,
features_t0/features_t1,external_state_missing_count,model_candidate_feature,int64,External state missing count.,
features_t0/features_t1,external_latest_is_de,model_candidate_feature,int64,External latest is de.,
features_t0/features_t1,external_latest_is_oos,model_candidate_feature,int64,External latest is oos.,
features_t0/features_t1,days_since_external_latest_record,model_candidate_feature,float64,Days since external latest record.,
features_t0/features_t1,days_since_external_latest_oos,model_candidate_feature,float64,Days since external latest oos.,
features_t0/features_t1,days_since_external_latest_de,model_candidate_feature,float64,Days since external latest de.,
features_t0/features_t1,work_record_count,model_candidate_feature,int64,Work record count.,
features_t0/features_t1,work_de_count,model_candidate_feature,int64,Work de count.,
features_t0/features_t1,work_oos_count,model_candidate_feature,int64,Work oos count.,
features_t0/features_t1,work_state_missing_count,model_candidate_feature,int64,Work state missing count.,
features_t0/features_t1,work_latest_is_de,model_candidate_feature,int64,Work latest is de.,
features_t0/features_t1,work_latest_is_oos,model_candidate_feature,int64,Work latest is oos.,
features_t0/features_t1,days_since_work_latest_record,model_candidate_feature,float64,Days since work latest record.,
features_t0/features_t1,days_since_work_latest_oos,model_candidate_feature,float64,Days since work latest oos.,
features_t0/features_t1,days_since_work_latest_de,model_candidate_feature,float64,Days since work latest de.,
features_t0/features_t1,link_confidence_mean,model_candidate_feature,float64,Link confidence mean.,
features_t0/features_t1,link_confidence_min,model_candidate_feature,float64,Link confidence min.,
features_t0/features_t1,low_confidence_link_share,model_candidate_feature,float64,Low confidence link share.,
features_t0/features_t1,tier_c_link_share,model_candidate_feature,float64,Tier c link share.,
features_t0/features_t1,active_address_de_count,model_candidate_feature,int64,Active address de count.,
features_t0/features_t1,active_address_oos_count,model_candidate_feature,int64,Active address oos count.,
features_t0/features_t1,active_address_state_conflict,model_candidate_feature,int64,Active address state conflict.,
features_t0/features_t1,active_oos_credential_count,model_candidate_feature,int64,Included credential records explicitly marked active whose credential_state is non-DE.,
features_t0/features_t1,active_de_credential_count,model_candidate_feature,int64,Included credential records explicitly marked active whose credential_state is DE.,
features_t0/features_t1,expired_or_superseded_credential_count,model_candidate_feature,int64,Included credential records explicitly marked expired or superseded.,
features_t0/features_t1,distinct_vehicle_count,model_candidate_feature,int64,Distinct vehicle count.,
features_t0/features_t1,ownership_change_count,model_candidate_feature,int64,Ownership change count.,
features_t0/features_t1,limited_quality_external_count,model_candidate_feature,int64,Limited quality external count.,
features_t0/features_t1,standard_quality_external_count,model_candidate_feature,int64,Standard quality external count.,
features_t0/features_t1,t1_update_observation_lag_mean_days,model_candidate_feature,float64,Mean days between effective_date and observed_date for linked T1 updates.,
features_t0/features_t1,t1_update_observation_lag_max_days,model_candidate_feature,int64,Maximum days between effective_date and observed_date among linked T1 updates; zero when absent.,
features_t0/features_t1,t1_late_arriving_update_count_over_30d,model_candidate_feature,int64,Linked T1 updates observed more than 30 days after their effective date.,
features_t0/features_t1,de_residency_proxy_present,model_candidate_feature,int64,Latest dated address-state evidence is Delaware.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,days_since_de_residency_proxy,model_candidate_feature,float64,Nonnegative whole days from the DE address-evidence proxy date through the phase as-of date.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,de_residency_proxy_source_count,model_candidate_feature,int64,Distinct address-evidence source types contributing to the latest uninterrupted DE run.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,current_within_60_day_grace_proxy,model_candidate_feature,int64,As-of date is no more than 60 days after the Delaware address-evidence proxy date.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,current_past_60_day_grace_proxy,model_candidate_feature,int64,As-of date is more than 60 days after the Delaware address-evidence proxy date.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,days_past_60_day_grace_proxy,model_candidate_feature,int64,Whole days beyond day 60 after the DE address-evidence proxy date; zero while within the proxy window or when no proxy exists.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,prior_oos_address_state_proxy_present,model_candidate_feature,int64,A non-DE address state exists before the latest uninterrupted DE address-evidence run.,
features_t0/features_t1,pre_de_proxy_oos_vehicle_signal_count,model_candidate_feature,int64,OOS title-domain records dated before the DE address-evidence proxy date.,
features_t0/features_t1,within_60d_oos_vehicle_signal_count,model_candidate_feature,int64,"OOS title-domain records dated from day 0 through day 60 after the DE address-evidence proxy date, inclusive.",https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment
features_t0/features_t1,post_60d_oos_vehicle_signal_count,model_candidate_feature,int64,OOS title-domain signals occurring more than 60 days after the Delaware address-evidence proxy date.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment
features_t0/features_t1,post_60d_oos_vehicle_signal_present,model_candidate_feature,int64,At least one OOS title-domain signal occurs after the proxy 60-day window.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment
features_t0/features_t1,days_past_grace_at_latest_oos_vehicle_signal,model_candidate_feature,int64,Days beyond day 60 for the latest post-window OOS title-domain record; zero when absent.,
features_t0/features_t1,within_60d_active_oos_credential_signal_count,model_candidate_feature,int64,"OOS credential records explicitly marked active and dated from day 0 through day 60 after the DE address-evidence proxy date, inclusive.",https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_60d_active_oos_credential_signal_count,model_candidate_feature,int64,Explicitly active OOS credential events occurring more than 60 days after the DE address-evidence proxy date; credential type is unknown.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_60d_active_oos_credential_signal_present,model_candidate_feature,int64,At least one explicitly active OOS credential record occurs more than 60 days after the DE address-evidence proxy date.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,days_past_grace_at_latest_active_oos_credential_signal,model_candidate_feature,int64,Days beyond day 60 for the latest explicitly active post-window OOS credential record; zero when absent.,
features_t0/features_t1,post_60d_oos_credential_update_status_unknown_count,model_candidate_feature,int64,T1 OOS license-domain updates after the proxy window whose active status cannot be determined.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_60d_combined_title_active_credential_conflict_count,model_candidate_feature,int64,"When both components exist, total post-window supporting records across OOS title and explicitly active OOS credential sources; otherwise zero.",https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_60d_combined_title_active_credential_conflict_present,model_candidate_feature,int64,Both a post-window OOS title-domain signal and an explicitly active post-window OOS credential signal are present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_move_oos_title_record_count,model_candidate_feature,int64,OOS title-domain records on or after the DE proxy date whose event_type is title_record.,
features_t0/features_t1,post_move_oos_ownership_change_count,model_candidate_feature,int64,OOS title-domain records on or after the DE proxy date whose event_type is ownership_change.,
features_t0/features_t1,post_move_oos_record_update_count,model_candidate_feature,int64,OOS title-domain records on or after the DE proxy date whose event_type is record_update.,
features_t0/features_t1,post_move_oos_t1_title_new_record_count,model_candidate_feature,int64,OOS T1 title-domain updates on or after the DE proxy date whose record_action is new_record.,
features_t0/features_t1,post_move_oos_t1_title_status_update_count,model_candidate_feature,int64,OOS T1 title-domain updates on or after the DE proxy date whose record_action is status_update.,
features_t0/features_t1,post_move_oos_t1_title_correction_count,model_candidate_feature,int64,OOS T1 title-domain updates on or after the DE proxy date whose record_action is record_correction.,
features_t0/features_t1,new_meaningful_oos_title_signal_after_move_present,model_candidate_feature,int64,"After the DE proxy date, an OOS title_record, ownership_change, or T1 title new_record is present.",
features_t0/features_t1,new_meaningful_oos_title_signal_post_60d_present,model_candidate_feature,int64,A meaningful OOS title event occurs after the proxy 60-day window.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment
features_t0/features_t1,post_move_oos_vehicle_matches_prior_state_count,model_candidate_feature,int64,OOS title-domain records on or after the DE proxy date whose state equals the prior OOS address-state proxy.,
features_t0/features_t1,post_60d_oos_vehicle_matches_prior_state_count,model_candidate_feature,int64,OOS title-domain records after day 60 whose state equals the prior OOS address-state proxy.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment
features_t0/features_t1,post_move_active_credential_matches_prior_state_count,model_candidate_feature,int64,Explicitly active OOS credential records on or after the DE proxy date whose state equals the prior OOS address-state proxy.,
features_t0/features_t1,post_60d_active_credential_matches_prior_state_count,model_candidate_feature,int64,Explicitly active OOS credential records after day 60 whose state equals the prior OOS address-state proxy.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_60d_prior_state_persistence_any_present,model_candidate_feature,int64,At least one post-window OOS title or explicitly active credential record matches the prior OOS address-state proxy.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,post_60d_prior_state_persistence_cross_source_present,model_candidate_feature,int64,"After the proxy window, both title and active credential signals match the prior OOS address-state proxy.",https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,de_residency_proxy_date,metadata,object,"Start of latest uninterrupted Delaware address-evidence run; audit metadata, not a legal residency date.",https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t0/features_t1,prior_oos_address_state_proxy,metadata,object,Most recent non-DE address state immediately before the latest uninterrupted DE address-evidence run; audit metadata only.,
features_t1_delta,candidate_record_id,metadata,object,Stable candidate identifier; metadata only and never a model predictor.,
features_t1_delta,new_t1_record_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_oos_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_de_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_state_missing_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_distinct_oos_states,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_source_domain_diversity,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_new_record_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_record_correction_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,new_t1_status_update_count,model_candidate_feature,int64,Count or diversity calculated only from linked T1 update-stream records.,
features_t1_delta,newly_effective_t0_record_count,model_candidate_feature,int64,Newly effective t0 record count.,
features_t1_delta,t1_has_linked_update,model_candidate_feature,int64,T1 has linked update.,
features_t1_delta,delta_linked_record_count,model_candidate_feature,int64,T1 value minus T0 value for linked_record_count.,
features_t1_delta,delta_oos_count_total,model_candidate_feature,int64,T1 value minus T0 value for oos_count_total.,
features_t1_delta,delta_de_count_total,model_candidate_feature,int64,T1 value minus T0 value for de_count_total.,
features_t1_delta,delta_distinct_oos_states,model_candidate_feature,int64,T1 value minus T0 value for distinct_oos_states.,
features_t1_delta,delta_days_since_latest_oos,model_candidate_feature,float64,T1 value minus T0 value for days_since_latest_oos.,
features_t1_delta,delta_days_since_latest_de,model_candidate_feature,float64,T1 value minus T0 value for days_since_latest_de.,
features_t1_delta,delta_source_diversity,model_candidate_feature,int64,T1 value minus T0 value for source_diversity.,
features_t1_delta,delta_state_missing_ratio,model_candidate_feature,float64,T1 value minus T0 value for state_missing_ratio.,
features_t1_delta,delta_cross_source_conflict_count,model_candidate_feature,int64,T1 value minus T0 value for cross_source_conflict_count.,
features_t1_delta,delta_link_confidence_mean,model_candidate_feature,float64,T1 value minus T0 value for link_confidence_mean.,
features_t1_delta,delta_low_confidence_link_share,model_candidate_feature,float64,T1 value minus T0 value for low_confidence_link_share.,
features_t1_delta,delta_oos_decay_90d,model_candidate_feature,float64,T1 value minus T0 value for oos_decay_90d.,
features_t1_delta,delta_de_decay_90d,model_candidate_feature,float64,T1 value minus T0 value for de_decay_90d.,
features_t1_delta,delta_oos_decay_365d,model_candidate_feature,float64,T1 value minus T0 value for oos_decay_365d.,
features_t1_delta,delta_de_decay_365d,model_candidate_feature,float64,T1 value minus T0 value for de_decay_365d.,
features_t1_delta,delta_latest_source_oos_count,model_candidate_feature,int64,T1 value minus T0 value for latest_source_oos_count.,
features_t1_delta,delta_latest_source_de_count,model_candidate_feature,int64,T1 value minus T0 value for latest_source_de_count.,
features_t1_delta,delta_active_address_oos_count,model_candidate_feature,int64,T1 value minus T0 value for active_address_oos_count.,
features_t1_delta,delta_recent_latest_source_oos_count_365d,model_candidate_feature,int64,T1 value minus T0 value for recent_latest_source_oos_count_365d.,
features_t1_delta,delta_recent_latest_source_de_count_365d,model_candidate_feature,int64,T1 value minus T0 value for recent_latest_source_de_count_365d.,
features_t1_delta,delta_historical_latest_source_oos_count,model_candidate_feature,int64,T1 value minus T0 value for historical_latest_source_oos_count.,
features_t1_delta,delta_recent_cross_source_conflict_count_365d,model_candidate_feature,int64,T1 value minus T0 value for recent_cross_source_conflict_count_365d.,
features_t1_delta,delta_recency_weighted_latest_source_oos,model_candidate_feature,float64,T1 value minus T0 value for recency_weighted_latest_source_oos.,
features_t1_delta,delta_oos_evidence_after_latest_de_count,model_candidate_feature,int64,T1 value minus T0 value for oos_evidence_after_latest_de_count.,
features_t1_delta,delta_de_evidence_after_latest_oos_count,model_candidate_feature,int64,T1 value minus T0 value for de_evidence_after_latest_oos_count.,
features_t1_delta,delta_recent_oos_after_latest_de_present,model_candidate_feature,int64,T1 value minus T0 value for recent_oos_after_latest_de_present.,
features_t1_delta,delta_recent_oos_independent_source_count_90d,model_candidate_feature,int64,T1 value minus T0 value for recent_oos_independent_source_count_90d.,
features_t1_delta,delta_recent_de_independent_source_count_90d,model_candidate_feature,int64,T1 value minus T0 value for recent_de_independent_source_count_90d.,
features_t1_delta,delta_recent_oos_cross_source_confirmation_present_90d,model_candidate_feature,int64,T1 value minus T0 value for recent_oos_cross_source_confirmation_present_90d.,
features_t1_delta,delta_active_address_de_count,model_candidate_feature,int64,T1 value minus T0 value for active_address_de_count.,
features_t1_delta,delta_oos_to_de_transition_count,model_candidate_feature,int64,T1 value minus T0 value for oos_to_de_transition_count.,
features_t1_delta,delta_de_to_oos_transition_count,model_candidate_feature,int64,T1 value minus T0 value for de_to_oos_transition_count.,
features_t1_delta,delta_post_60d_oos_vehicle_signal_count,model_candidate_feature,int64,T1 value minus T0 value for post_60d_oos_vehicle_signal_count.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment
features_t1_delta,delta_current_within_60_day_grace_proxy,model_candidate_feature,int64,T1 value minus T0 value for current_within_60_day_grace_proxy.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t1_delta,delta_current_past_60_day_grace_proxy,model_candidate_feature,int64,T1 value minus T0 value for current_past_60_day_grace_proxy.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t1_delta,delta_days_past_60_day_grace_proxy,model_candidate_feature,int64,T1 value minus T0 value for days_past_60_day_grace_proxy.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t1_delta,delta_post_60d_active_oos_credential_signal_count,model_candidate_feature,int64,T1 value minus T0 value for post_60d_active_oos_credential_signal_count.,https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t1_delta,delta_post_60d_combined_title_active_credential_conflict_present,model_candidate_feature,int64,T1 value minus T0 value for post_60d_combined_title_active_credential_conflict_present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t1_delta,delta_post_60d_prior_state_persistence_any_present,model_candidate_feature,int64,T1 value minus T0 value for post_60d_prior_state_persistence_any_present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
features_t1_delta,delta_post_60d_prior_state_persistence_cross_source_present,model_candidate_feature,int64,T1 value minus T0 value for post_60d_prior_state_persistence_cross_source_present.,https://delcode.delaware.gov/title21/c021/sc01/index.html; https://dmv.de.gov/VehicleServices/inspections/index.shtml?dc=v_equipment; https://delcode.delaware.gov/title21/c027/sc01/index.html; https://dmv.de.gov/DriverServices/drivers_license/index.shtml?dc=dr_lic_gen_req
