candidate_record_id,linked_record_count,source_diversity,state_missing_ratio,link_confidence_mean,oos_share_known_state,distinct_oos_states,active_address_oos_count,active_address_de_count,active_oos_credential_count,active_de_credential_count,de_count_90d,historical_oos_count_over_365d,days_since_latest_oos,latest_oos_recency_advantage_days,historical_oos_only,oos_decay_share_365d,recent_oos_independent_source_count_90d,recent_latest_source_oos_count_365d,recent_latest_source_de_count_365d,recent_cross_source_conflict_present_365d,de_residency_proxy_present,days_past_60_day_grace_proxy,post_60d_oos_vehicle_signal_count,post_60d_prior_state_persistence_any_present
CAN-P3X1HRNZ0X,10,5,0.0,0.96,0.3,1,0,0,0,1,0,2,352.0,-1.0,0,0.3600974170989465,0,1,2,1,1,0,0,0
CAN-I041L39VMI,9,4,0.0,0.9527777777777776,0.3333333333333333,1,0,0,0,0,2,3,838.0,-823.0,1,0.1038905273783933,0,0,3,0,1,0,0,0
CAN-Z7V3713XL1,12,5,0.0,0.9533333333333333,0.4166666666666667,1,0,1,0,1,0,2,5.0,153.0,0,0.4928597189063174,2,3,2,1,1,698,1,0
CAN-03B5WWQ0NT,11,5,0.0,0.9640909090909092,0.4545454545454545,1,0,1,1,0,0,2,39.0,187.0,0,0.6389905035296947,2,3,1,1,0,0,0,0
CAN-Y6C6DTXZ5C,12,5,0.0,0.965,0.5833333333333334,1,0,0,0,1,0,6,93.0,31.0,0,0.4519575821311535,0,1,1,1,1,371,0,0
CAN-O3J1RKC9U9,12,5,0.0833333333333333,0.9383333333333334,0.4545454545454545,1,1,1,0,1,0,3,10.0,478.0,0,0.6199858442338531,2,2,0,0,1,0,0,0
CAN-MF20NJLL6U,12,5,0.0833333333333333,0.94,0.3636363636363636,1,0,1,0,2,3,2,126.0,-89.0,0,0.3551579920185208,0,1,4,1,1,9,0,0
CAN-39PQSDB3AY,12,5,0.0833333333333333,0.95,0.3636363636363636,1,0,0,0,0,0,2,84.0,199.0,0,0.554440949614165,1,2,0,0,0,0,0,0
CAN-DKDW3YA09O,12,5,0.0,0.9633333333333334,0.6666666666666666,1,0,0,0,0,2,3,7.0,43.0,0,0.6637304207200687,1,2,2,1,0,0,0,0
CAN-68262CC3UB,12,5,0.0833333333333333,0.9591666666666666,0.5454545454545454,1,0,1,0,1,3,5,152.0,-149.0,0,0.2316851649837303,0,1,3,1,1,28,0,0
CAN-2M5IXJ7KVX,11,5,0.0,0.9622727272727272,0.4545454545454545,1,0,1,1,0,2,4,164.0,-97.0,0,0.2451032585433809,0,1,3,1,0,0,0,0
CAN-53A3L81YS3,13,5,0.0,0.9642307692307692,0.5384615384615384,1,0,0,1,2,1,6,100.0,-43.0,0,0.4537646774748219,0,1,2,1,0,0,0,0
CAN-DDCE810DNO,13,5,0.0,0.961153846153846,0.5384615384615384,1,0,0,0,0,2,6,295.0,-279.0,0,0.3366395549398158,0,1,3,1,1,0,0,0
CAN-9ZBAACKT5G,9,5,0.1111111111111111,0.9538888888888888,0.375,1,0,0,1,1,1,2,197.0,-189.0,0,0.2961819156537233,0,1,2,1,0,0,0,0
CAN-PY1ABCR9PI,9,5,0.0,0.9661111111111113,0.6666666666666666,1,0,0,1,0,0,5,258.0,-113.0,0,0.5286181243791118,0,1,2,1,1,0,0,0
CAN-C2K0J7T6EI,11,5,0.0,0.9477272727272726,0.7272727272727273,1,0,1,1,0,0,7,296.0,186.0,0,0.6892602735356035,0,1,0,0,0,0,0,0
CAN-4IF0CSKHW3,8,5,0.0,0.9475,0.375,1,1,0,0,0,0,1,199.0,-11.0,0,0.4423762372704052,0,2,1,1,1,0,0,0
CAN-W54K6RF6BF,11,5,0.0,0.9622727272727272,0.4545454545454545,1,1,0,0,1,1,3,230.0,-149.0,0,0.5511181072681922,0,2,1,1,0,0,0,0
CAN-51BRUH7TPO,13,5,0.0,0.9588461538461538,0.3076923076923077,1,1,0,0,1,0,2,116.0,88.0,0,0.4104459251207871,0,2,2,1,0,0,0,0
CAN-EUJ0RZ9M2G,11,5,0.0,0.9595454545454544,0.3636363636363636,1,0,0,1,1,0,3,13.0,427.0,0,0.4698754002760714,1,1,0,0,1,1860,2,0
CAN-OH8DYHHVII,12,5,0.0,0.965,0.5833333333333334,1,1,1,1,0,0,4,254.0,-71.0,0,0.5505570772102869,0,2,1,1,1,123,0,0
CAN-W371W1IRIZ,11,5,0.0,0.9622727272727272,0.6363636363636364,1,1,0,0,0,1,4,67.0,-33.0,0,0.7204862150231159,1,2,1,1,0,0,0,0
CAN-WXWQ2B8FBC,13,5,0.0769230769230769,0.961153846153846,0.5833333333333334,1,0,0,1,0,0,6,202.0,-106.0,0,0.4654471247730999,0,1,2,1,0,0,0,0
CAN-RV83KBIIKN,12,5,0.0,0.9516666666666668,0.3333333333333333,1,1,0,0,0,1,3,15.0,72.0,0,0.3412365638292608,1,1,1,1,1,0,0,0
CAN-9VHPPBI046,12,5,0.0833333333333333,0.965,0.2727272727272727,1,0,1,1,1,2,3,1877.0,-1842.0,1,0.0154084876454592,0,0,3,0,0,0,0,0
CAN-IKPHHGPHH7,11,5,0.0,0.9595454545454544,0.5454545454545454,1,0,1,1,1,0,3,120.0,56.0,0,0.6593823578522382,0,3,1,1,1,116,0,0
CAN-L6EJWJAITB,14,5,0.0,0.9621428571428572,0.5,1,0,0,0,0,0,5,178.0,123.0,0,0.5723825894195391,0,2,1,1,0,0,0,0
CAN-A5IDDPXXBN,11,5,0.0,0.9640909090909092,0.6363636363636364,1,0,1,0,0,1,6,45.0,29.0,0,0.5480053395504113,1,1,1,1,1,14,0,0
CAN-OKLWI031HO,12,5,0.0,0.9558333333333332,0.4166666666666667,1,0,0,0,0,0,4,163.0,19.0,0,0.3656036124781012,0,1,1,1,1,662,0,0
CAN-ZSBIH6WYTH,14,5,0.0714285714285714,0.9621428571428572,0.6153846153846154,1,1,0,0,0,0,6,241.0,108.0,0,0.657833186602383,0,2,1,1,1,0,0,0
CAN-LJ5V2FYXLM,10,5,0.0,0.967,0.6,1,0,0,1,1,1,4,32.0,-32.0,0,0.6213204707853625,1,2,1,1,0,0,0,0
CAN-VRLP6FJR5E,14,5,0.0,0.9585714285714284,0.5714285714285714,1,0,0,0,0,0,7,97.0,29.0,0,0.4017877832602207,0,1,3,1,0,0,0,0
CAN-D5LJOJM6RO,11,5,0.0,0.9559090909090908,0.5454545454545454,1,1,0,1,0,0,4,15.0,298.0,0,0.653225022373615,2,2,0,0,1,0,0,0
CAN-3CL1045CGX,11,5,0.0,0.9659090909090908,0.3636363636363636,1,0,0,1,1,1,4,638.0,-563.0,1,0.2296754633980653,0,0,1,0,0,0,0,0
CAN-R0TKOFOSVU,17,5,0.0,0.956764705882353,0.5294117647058824,2,1,0,0,1,0,6,9.0,90.0,0,0.532059937806573,1,1,3,1,1,0,0,0
CAN-V95EHLZUHQ,11,5,0.0,0.9640909090909092,0.5454545454545454,1,1,0,1,2,1,5,144.0,-137.0,0,0.5529724935226115,0,1,1,1,0,0,0,0
CAN-JUR9CRBOBB,13,5,0.0769230769230769,0.9465384615384616,0.5833333333333334,1,0,1,1,0,0,4,124.0,87.0,0,0.6513720801455811,0,3,1,1,0,0,0,0
CAN-VLWN74ODYS,12,5,0.0833333333333333,0.9575,0.6363636363636364,1,0,0,1,0,1,6,39.0,30.0,0,0.5302738313892444,1,1,2,1,1,0,0,0
CAN-3X6FPE9Q6I,11,5,0.0,0.9513636363636364,0.6363636363636364,1,0,0,1,0,0,7,392.0,-188.0,1,0.5459548093827079,0,0,1,0,0,0,0,0
CAN-337GK316E5,14,5,0.0,0.9571428571428572,0.5,1,0,0,0,0,0,6,51.0,229.0,0,0.4680676321546029,1,1,2,1,1,462,1,1
CAN-76ADVG9NVE,10,4,0.0,0.956,0.4,1,0,0,0,0,0,2,258.0,-71.0,0,0.433944538145118,0,1,2,1,1,0,0,0
CAN-NTAINPIZ0A,14,5,0.0,0.9607142857142856,0.7142857142857143,1,1,0,1,0,1,7,46.0,-13.0,0,0.6835000207536936,1,3,1,1,0,0,0,0
CAN-IW6JXZW0WC,12,5,0.0,0.9575,0.5,1,0,1,0,1,0,3,130.0,388.0,0,0.6462895617924826,0,3,0,0,1,458,0,0
CAN-HHCL4OHBWI,13,5,0.0769230769230769,0.9534615384615384,0.5,1,1,0,0,0,0,2,8.0,265.0,0,0.6434822236203165,1,4,0,0,0,0,0,0
CAN-070IVOS11T,12,5,0.0,0.9558333333333334,0.4166666666666667,1,1,0,1,1,1,2,114.0,-35.0,0,0.6681650085385349,0,3,1,1,1,0,0,0
CAN-92WQFWID3C,9,5,0.0,0.9683333333333332,0.5555555555555556,1,0,0,0,0,1,5,449.0,-434.0,1,0.5173458746673603,0,0,1,0,1,0,0,0
CAN-OUUU51REC4,12,5,0.0,0.9458333333333332,0.5833333333333334,1,0,0,0,1,1,5,39.0,29.0,0,0.5023625432551969,1,2,2,1,0,0,0,0
CAN-54YPSJ2HOY,13,5,0.0,0.9534615384615384,0.5384615384615384,1,1,0,0,0,1,5,64.0,-22.0,0,0.4718872315086271,1,2,3,1,0,0,0,0
CAN-6GYH2VM17T,13,5,0.0,0.9642307692307692,0.6153846153846154,1,1,0,1,1,0,7,77.0,357.0,0,0.5117151179176027,1,1,0,0,0,0,0,0
CAN-I1I5ZEBNOS,11,5,0.0,0.954090909090909,0.4545454545454545,1,0,1,0,0,1,3,7.0,-2.0,0,0.4478894060196551,1,2,3,1,1,0,0,0
CAN-VGA5ERF323,12,5,0.0,0.9575,0.6666666666666666,1,1,0,1,0,0,6,44.0,81.0,0,0.6251565929478079,2,2,1,1,0,0,0,0
CAN-1ILR4V7QSU,13,5,0.0,0.9557692307692308,0.5384615384615384,1,1,0,2,1,0,6,350.0,-219.0,0,0.5003935273003112,0,1,2,1,0,0,0,0
CAN-UAT456IPE8,12,5,0.0833333333333333,0.9616666666666666,0.5454545454545454,1,1,0,0,0,0,5,91.0,28.0,0,0.5881780268479436,0,1,1,1,1,0,0,0
CAN-JPQG1LX2MI,15,5,0.0666666666666666,0.9369999999999998,0.4285714285714285,1,0,1,0,0,0,5,14.0,473.0,0,0.5398070904194062,1,1,0,0,1,508,0,0
CAN-WIW90UQ920,12,5,0.0,0.9591666666666666,0.5,1,0,0,0,1,0,3,93.0,25.0,0,0.5636591802331957,0,3,1,1,0,0,0,0
CAN-E3C8YWWQ7Y,11,5,0.0,0.9659090909090908,0.4545454545454545,1,1,0,0,0,0,2,216.0,-81.0,0,0.5872440146532246,0,2,1,1,1,0,0,0
CAN-3KH9A6IWRD,10,5,0.0,0.959,0.6,1,0,1,0,0,1,6,707.0,-654.0,1,0.2909797210242367,0,0,1,0,0,0,0,0
CAN-3EBVNYT2KD,15,5,0.0,0.9416666666666668,0.6,1,2,0,1,1,0,7,28.0,92.0,0,0.6027498052701177,1,1,3,1,0,0,0,0
CAN-1EJVSHCWNY,13,5,0.0,0.9588461538461538,0.3076923076923077,1,0,1,0,1,1,3,196.0,-154.0,0,0.3782060007034012,0,1,1,1,1,336,0,0
CAN-V2R3ZOQEJ1,10,5,0.0,0.963,0.7,1,0,1,0,0,1,6,35.0,5.0,0,0.5291436809291288,1,1,1,1,1,0,0,0
CAN-WOQVTRSPZN,14,5,0.0,0.9557142857142856,0.4285714285714285,1,1,0,0,2,0,1,38.0,170.0,0,0.5484235758136452,1,5,0,0,0,0,0,0
CAN-MDWNE723VW,12,5,0.0,0.9575,0.5833333333333334,1,0,1,1,0,0,6,292.0,58.0,0,0.4804400907924335,0,1,1,1,0,0,0,0
CAN-DOPNRIG3J7,13,5,0.0,0.9642307692307692,0.6153846153846154,1,1,0,1,0,0,5,50.0,122.0,0,0.7529747199449538,2,3,0,0,0,0,0,0
CAN-6QAYDH0ADT,8,5,0.0,0.9625,0.25,1,0,0,0,0,0,1,285.0,-8.0,0,0.3541038548547267,0,1,1,1,1,0,0,0
CAN-4IPKUJXM5L,14,5,0.0714285714285714,0.9521428571428572,0.4615384615384615,1,1,0,0,1,1,2,44.0,18.0,0,0.6003966993674292,1,4,1,1,1,0,0,0
CAN-XFPTBZAKD4,10,5,0.0,0.963,0.5,1,1,0,0,0,0,4,140.0,219.0,0,0.6880915347968622,0,1,1,1,0,0,0,0
CAN-FR0BWWT3A8,12,5,0.0833333333333333,0.9591666666666666,0.5454545454545454,1,1,0,1,1,0,3,141.0,-34.0,0,0.6746861023419841,0,3,1,1,1,0,0,0
CAN-G0L4UBD0A7,24,5,0.125,0.9554166666666668,0.3809523809523809,1,1,0,2,0,0,4,88.0,47.0,0,0.4023530485636449,1,3,1,1,1,0,0,0
CAN-JCK74X4W0W,11,5,0.0,0.9513636363636364,0.4545454545454545,1,1,0,0,0,1,5,414.0,-405.0,1,0.4195974043952385,0,0,2,0,1,0,0,0
CAN-HDSDDNZC20,11,5,0.0909090909090909,0.9640909090909092,0.4,1,0,0,0,0,1,4,463.0,-433.0,1,0.3731436220514145,0,0,1,0,0,0,0,0
CAN-TVWR08PFRB,14,5,0.0,0.9635714285714286,0.5714285714285714,1,1,1,0,1,0,7,158.0,272.0,0,0.5552160651862438,0,1,0,0,1,526,0,0
CAN-1AASQGX2CY,12,5,0.0833333333333333,0.9575,0.5454545454545454,1,0,0,1,1,0,6,498.0,-244.0,1,0.4170745989093433,0,0,1,0,1,0,0,0
CAN-QN7D4RMLGM,15,5,0.0,0.9443333333333332,0.6666666666666666,2,1,0,0,1,1,5,55.0,6.0,0,0.6648145379195683,1,3,1,1,1,0,0,0
CAN-908V6WHWCS,11,5,0.0,0.9522727272727272,0.4545454545454545,1,1,0,0,0,2,4,351.0,-347.0,0,0.3223544534875777,0,0,2,0,1,0,0,0
CAN-LN7251FHUX,11,5,0.0,0.9559090909090908,0.4545454545454545,1,0,0,0,1,0,3,97.0,80.0,0,0.5485617247103539,0,2,1,1,1,0,0,0
CAN-3NG91MHXO7,12,5,0.0,0.9591666666666666,0.3333333333333333,1,1,1,0,0,1,3,25.0,65.0,0,0.3839756473656845,1,1,1,1,1,30,0,0
CAN-Z10NEOQ4MK,20,5,0.0,0.9589999999999996,0.4,3,2,1,2,1,1,5,16.0,13.0,0,0.5331048271481051,2,2,1,1,0,0,0,0
CAN-4TE7NMPPJE,13,5,0.0,0.9573076923076924,0.3846153846153846,1,0,1,1,0,1,5,490.0,-477.0,1,0.3019570274483903,0,0,4,0,1,94,0,0
CAN-BC7LWI7DC0,14,5,0.0,0.9571428571428572,0.5,1,1,1,1,0,0,3,16.0,175.0,0,0.5951447982448255,2,4,1,1,0,0,0,0
CAN-7LDHGE6GQ9,12,5,0.0833333333333333,0.9591666666666666,0.6363636363636364,1,0,0,0,0,1,6,149.0,-115.0,0,0.4372354838061005,0,0,2,0,0,0,0,0
CAN-ZL6567MUKS,10,5,0.1,0.956,0.5555555555555556,1,1,0,0,1,0,4,28.0,348.0,0,0.5681629749349746,1,1,0,0,0,0,0,0
CAN-5AP4PCTW20,10,5,0.0,0.956,0.5,1,1,0,1,0,0,4,121.0,204.0,0,0.516109240695067,0,1,1,1,0,0,0,0
CAN-0LVRQM5VTY,13,5,0.0,0.9573076923076924,0.4615384615384615,1,1,0,2,0,0,5,183.0,-25.0,0,0.4135677846206997,0,1,1,1,1,0,0,0
CAN-2RUM709LFI,14,5,0.1428571428571428,0.9585714285714284,0.6666666666666666,1,1,0,1,0,1,5,89.0,-74.0,0,0.7003880135582672,1,3,1,1,0,0,0,0
CAN-F953MK2ZGB,14,5,0.0,0.9485714285714284,0.5,1,0,1,1,2,0,6,161.0,0.0,0,0.4499535255379426,0,1,2,1,1,101,0,0
CAN-2UGC3PJWW5,13,5,0.0,0.948076923076923,0.4615384615384615,1,1,1,1,0,3,5,96.0,-77.0,0,0.264860930337619,0,1,3,1,0,0,0,0
CAN-T2MXQ0S8A2,11,5,0.2727272727272727,0.9640909090909092,0.75,1,0,0,0,0,0,6,547.0,-179.0,1,0.7172073131110621,0,0,0,0,0,0,0,0
CAN-T24W1R3U06,11,5,0.0,0.9640909090909092,0.3636363636363636,1,1,0,0,2,0,4,385.0,-24.0,1,0.4631724705944572,0,0,1,0,0,0,0,0
CAN-AUAYH7RVG1,12,5,0.0,0.9616666666666666,0.5,1,1,0,0,1,0,5,25.0,449.0,0,0.5984283919516797,1,1,0,0,0,0,0,0
CAN-Z8MAV3XV6H,11,5,0.0,0.9595454545454544,0.4545454545454545,1,0,0,0,1,0,3,111.0,67.0,0,0.4483298142446567,0,2,2,1,1,0,0,0
CAN-EXFZPJ9GFU,10,5,0.0,0.953,0.3,1,0,1,1,1,0,2,27.0,167.0,0,0.3112976308230241,1,1,2,1,1,825,0,0
CAN-7KCFS10PN4,12,5,0.0,0.9541666666666666,0.5,1,0,0,1,0,1,3,119.0,-58.0,0,0.4640246444727124,0,2,2,1,1,165,1,1
CAN-2ZBXTGTFXO,4,2,0.0,0.98,0.5,1,0,0,1,0,0,1,251.0,261.0,0,0.6848568929820068,0,1,0,0,0,0,0,0
CAN-A272JRB7SZ,14,5,0.0,0.9607142857142856,0.6428571428571429,1,1,1,0,1,1,9,526.0,-515.0,1,0.2636251631840005,0,0,4,0,1,0,0,0
CAN-FUNIRZSNWI,11,5,0.0,0.9577272727272728,0.5454545454545454,1,1,1,0,1,0,4,181.0,46.0,0,0.478844480460417,0,2,1,1,0,0,0,0
CAN-NBHBPULX8I,10,4,0.0,0.958,0.5,1,1,0,0,1,0,2,107.0,315.0,0,0.7822979996829053,0,2,0,0,0,0,0,0
CAN-OOYNDOAL1O,12,5,0.0,0.9575,0.5,1,0,0,2,1,2,6,488.0,-486.0,1,0.2547446368762528,0,0,3,0,0,0,0,0
CAN-07NH0GGO91,13,5,0.0,0.9519230769230768,0.6923076923076923,1,0,0,0,0,1,5,162.0,-121.0,0,0.6697647711911358,0,4,1,1,1,0,0,0
CAN-Y7C3SKI1TJ,13,5,0.0769230769230769,0.9588461538461538,0.5,1,1,0,1,0,0,5,294.0,-144.0,0,0.5419084640224634,0,1,1,1,1,0,0,0
CAN-1N0TT133VC,10,5,0.0,0.951,0.4,1,0,0,0,0,0,4,642.0,-515.0,1,0.2171812854210612,0,0,3,0,1,0,0,0
CAN-TF8F7HXS8H,14,5,0.0,0.9635714285714286,0.5,1,0,0,2,0,1,5,305.0,-223.0,0,0.5290123850470302,0,2,1,1,0,0,0,0
CAN-NLM2FQOWDX,12,5,0.0,0.9633333333333334,0.4166666666666667,1,0,0,1,0,1,3,114.0,-27.0,0,0.4988277323854705,0,1,1,1,1,0,0,0
CAN-71NZ4LLTW0,12,5,0.0,0.965,0.5,1,0,1,0,0,1,5,36.0,-3.0,0,0.4991801405540058,1,1,2,1,0,0,0,0
CAN-0ELVPE0E8Z,14,5,0.0714285714285714,0.9542857142857144,0.4615384615384615,1,0,1,0,0,2,5,191.0,-174.0,0,0.2804607931635338,0,1,4,1,0,0,0,0
CAN-I3PXA23LZ0,13,5,0.0769230769230769,0.961153846153846,0.5,1,1,0,0,1,0,4,170.0,482.0,0,0.624002939823094,0,2,0,0,0,0,0,0
CAN-VR0B81LPAT,9,5,0.0,0.9483333333333334,0.2222222222222222,1,0,0,0,0,0,1,207.0,-20.0,0,0.1934927498291806,0,0,3,0,1,744,0,0
CAN-1JVUE0ZDL6,12,5,0.0,0.9458333333333332,0.4166666666666667,1,0,1,1,1,1,4,193.0,-161.0,0,0.26612612402164,0,0,4,0,1,228,1,1
CAN-RV93OF6JXL,12,5,0.0,0.9516666666666668,0.5,1,1,0,0,0,1,4,200.0,-128.0,0,0.3654889588591533,0,1,3,1,0,0,0,0
CAN-T6ZUORBXEU,14,5,0.2142857142857142,0.9621428571428572,0.3636363636363636,1,0,2,0,0,1,4,698.0,-689.0,1,0.1202443562874231,0,0,3,0,1,395,0,0
CAN-U36WPUW3RA,14,5,0.0714285714285714,0.9421428571428572,0.4615384615384615,1,1,0,0,0,2,4,78.0,-67.0,0,0.4268372319857808,1,2,2,1,1,0,0,0
CAN-J3GS6236AW,11,4,0.0,0.9495454545454546,0.2727272727272727,1,0,1,0,1,2,1,65.0,-30.0,0,0.3495177399065154,1,1,3,1,0,0,0,0
CAN-6RRN2MTNG4,13,5,0.0,0.9503846153846152,0.5384615384615384,1,0,0,1,0,1,5,19.0,-5.0,0,0.5884694902477831,1,2,2,1,1,0,0,0
CAN-Z0CGKQO04W,12,5,0.0,0.9616666666666666,0.3333333333333333,1,0,0,0,0,1,3,98.0,-60.0,0,0.2860542887178419,0,1,4,1,0,0,0,0
CAN-3YZWCSOHI9,10,5,0.1,0.9685,0.6666666666666666,1,0,0,0,0,0,4,59.0,109.0,0,0.5818459433768599,1,2,1,1,1,546,0,0
CAN-LT86W69K2H,14,5,0.0,0.9585714285714284,0.5,1,0,0,0,1,0,5,244.0,200.0,0,0.5656186726607337,0,2,0,0,1,618,2,1
CAN-46MO9NSNRF,13,5,0.0,0.9626923076923076,0.5384615384615384,1,0,0,0,0,0,6,252.0,-29.0,0,0.4957267741041928,0,1,1,1,0,0,0,0
CAN-YRP1M0OW0R,14,5,0.0,0.9621428571428572,0.5,1,0,0,1,0,0,6,101.0,135.0,0,0.5091172811282813,0,1,1,1,1,491,0,0
CAN-18Q1KNHG43,11,5,0.0,0.9609090909090908,0.4545454545454545,1,0,1,1,1,0,3,9.0,232.0,0,0.6137610601764224,2,2,1,1,0,0,0,0
CAN-EG8RAQ3DCT,11,5,0.0,0.9468181818181818,0.4545454545454545,1,0,1,0,2,1,3,17.0,19.0,0,0.3899548173772193,1,2,3,1,1,117,0,0
CAN-JDEJWQ7CVV,13,5,0.0769230769230769,0.9573076923076924,0.5833333333333334,1,1,0,1,1,0,4,120.0,100.0,0,0.6442648561870524,0,3,1,1,0,0,0,0
