candidate_record_id,new_t1_record_count,new_t1_oos_count,new_t1_de_count,new_t1_state_missing_count,new_t1_source_domain_diversity,new_t1_new_record_count,new_t1_record_correction_count,new_t1_status_update_count,newly_effective_t0_record_count,delta_days_since_latest_oos,delta_days_since_latest_de,delta_oos_decay_90d,delta_de_decay_90d,delta_recent_oos_independent_source_count_90d,delta_recent_de_independent_source_count_90d,delta_active_address_oos_count,delta_active_address_de_count,delta_link_confidence_mean,delta_post_60d_oos_vehicle_signal_count,delta_post_60d_prior_state_persistence_any_present,delta_t1_update_observation_lag_mean_days,delta_t1_late_arriving_update_count_over_30d
CAN-NT7RNCYJL3,0,0,0,0,0,0,0,0,0,36.0,36.0,-0.0584266432746938,-0.5278286438142139,0,-1,0,0,0.0,0,0,0.0,0
CAN-YZYTAO4MG4,1,1,0,0,1,0,1,0,0,-7.0,20.0,0.6752444763922496,-0.1926359200686374,0,-1,0,0,0.000125,0,0,19.0,0
CAN-2Z7D2FBM05,1,0,1,0,1,1,0,0,1,51.0,20.0,-0.3849307378974749,1.1586032298368394,0,2,0,1,-0.0056923076923076,0,0,26.0,0
CAN-S177BFJOH6,1,0,1,0,1,0,0,1,1,-368.0,28.0,0.7976029521701089,0.293145355421176,1,1,0,1,-0.0004761904761905,0,0,43.0,1
CAN-6TS8MFZNG7,2,0,2,0,1,1,1,0,1,70.0,-123.0,-0.1083258466308997,2.1323869350857754,0,2,0,1,0.006168831168831,0,0,24.0,1
CAN-J3IXYWVLX8,2,2,0,0,2,1,0,1,0,-398.0,74.0,1.721789339430334,-0.3539671961704017,2,-1,1,0,0.0035314685314685,0,0,17.0,0
CAN-VMUFIBZQYL,2,2,0,0,2,1,1,0,0,-77.0,20.0,1.392247236287624,-0.036528028984764,2,0,1,0,-0.0058974358974358,0,0,39.5,1
CAN-34OU3CD4LO,2,0,2,0,2,0,0,2,0,53.0,-32.0,-0.0303952112254575,1.2014012506679164,0,0,0,0,-0.0006923076923076,0,0,10.0,0
CAN-39WXVWGNAS,1,0,1,0,1,0,1,0,0,54.0,-37.0,-0.2169139475245107,0.6338278634600416,0,0,0,0,-0.0003205128205128,0,0,13.0,0
CAN-K3GD1R3ANL,2,2,0,0,2,2,0,0,3,-30.0,-468.0,1.756186791311484,1.1262296968266037,2,1,0,1,-0.0010511363636364,1,0,10.5,0
CAN-P3X1HRNZ0X,1,1,0,0,1,0,0,1,3,-349.0,-229.0,1.750233104682093,0.2918839527576953,1,0,1,0,-0.0014285714285714,0,0,1.0,0
CAN-I041L39VMI,2,1,1,0,1,0,2,0,3,-803.0,2.0,1.3412656192927874,0.1794278589032178,2,-1,0,0,0.0057936507936507,1,1,24.0,1
CAN-Z7V3713XL1,2,1,1,0,1,1,0,1,0,23.0,-117.0,0.3917711991902814,0.6376794449386585,0,1,0,0,-0.0097619047619047,0,0,44.0,2
CAN-03B5WWQ0NT,1,0,1,0,1,0,1,0,1,161.0,-208.0,-1.1708184029267976,1.0966277090975285,-2,1,0,0,0.0012937062937062,0,0,16.0,0
CAN-Y6C6DTXZ5C,1,0,1,0,1,0,0,1,0,96.0,-116.0,-0.2635578847066941,0.7002579813707086,0,1,0,1,-0.0007692307692307,0,0,7.0,0
CAN-O3J1RKC9U9,2,1,1,0,2,1,0,1,1,29.0,-463.0,0.2110860240288319,0.7951928805828126,0,1,0,1,0.0013333333333331,0,0,30.0,1
CAN-MF20NJLL6U,1,0,1,0,1,1,0,0,2,-76.0,-10.0,0.2870319208673417,0.0350942110503913,1,-1,0,0,0.003,0,0,30.0,0
CAN-39PQSDB3AY,2,0,2,0,1,2,0,0,1,1.0,-258.0,0.1074349809319592,1.5186523205828468,0,1,0,2,0.0036666666666665,0,0,29.0,1
CAN-DKDW3YA09O,2,2,0,0,2,1,1,0,1,4.0,61.0,0.4328821182864657,-0.487659750304102,1,-2,0,1,-0.0016666666666667,0,0,22.0,1
CAN-68262CC3UB,0,0,0,0,0,0,0,0,0,85.0,85.0,-0.1496270462011302,-1.1728032339616037,0,-2,0,0,0.0,0,0,0.0,0
CAN-2M5IXJ7KVX,1,0,1,0,1,1,0,0,1,142.0,-16.0,-0.1907688241049218,-0.0783081280125508,0,-1,0,0,-0.001118881118881,0,0,48.0,1
CAN-53A3L81YS3,1,1,0,0,1,0,0,1,0,-89.0,27.0,0.8130866549699841,-0.2076328370557451,1,0,1,0,-0.0006593406593405,0,0,9.0,0
CAN-DDCE810DNO,2,2,0,0,2,1,1,0,1,-283.0,88.0,1.52560112582981,-0.5989398614612034,2,-2,0,0,0.0010336538461538,1,1,26.5,1
CAN-9ZBAACKT5G,1,0,1,0,1,1,0,0,3,-91.0,1.0,0.2720449389702903,1.428319379754961,0,2,0,1,0.0034188034188035,0,0,9.0,0
CAN-PY1ABCR9PI,1,0,1,0,1,1,0,0,1,-240.0,-130.0,0.8116199595826079,0.7025778846717232,1,1,0,0,-0.0083838383838383,0,0,14.0,0
CAN-C2K0J7T6EI,1,0,1,0,1,1,0,0,1,66.0,-431.0,-0.0592348794677811,1.3209856660988095,0,2,0,0,0.0041958041958042,0,0,50.0,1
CAN-4IF0CSKHW3,1,0,1,0,1,1,0,0,3,-170.0,-134.0,1.340438997589342,0.4359792464833816,1,1,0,0,0.0087499999999999,1,1,53.0,1
CAN-W54K6RF6BF,1,0,1,0,1,0,0,1,2,-127.0,-41.0,0.4616361151629827,0.2982487182251406,0,0,-1,0,0.0012987012987014,0,0,38.0,1
CAN-51BRUH7TPO,1,1,0,0,1,1,0,0,1,-85.0,78.0,1.1450472070298643,-0.2010548457355121,1,0,0,0,0.0018205128205128,0,0,29.0,0
CAN-EUJ0RZ9M2G,2,0,2,0,2,1,0,1,1,25.0,-424.0,0.1267935918954206,1.541246672796921,0,2,1,1,0.001525974025974,-2,0,27.5,1
CAN-OH8DYHHVII,1,1,0,0,1,0,1,0,1,-235.0,-127.0,0.714452445277463,0.5179518876773084,1,1,0,0,-0.0064285714285714,0,0,18.0,0
CAN-W371W1IRIZ,1,0,1,0,1,0,0,1,2,46.0,-13.0,-0.3911039661527501,1.0917457421337908,-1,1,0,1,0.0012987012987014,0,0,41.0,1
CAN-WXWQ2B8FBC,2,1,0,1,1,1,0,1,1,-181.0,-69.0,0.7231709092877168,0.3397743311287964,1,1,1,0,-0.0055288461538461,0,0,28.0,1
CAN-RV83KBIIKN,1,0,1,0,1,1,0,0,1,26.0,-53.0,0.4349227118019486,0.5857264491817736,1,0,0,1,0.0004761904761905,0,0,31.0,1
CAN-9VHPPBI046,1,0,1,0,1,0,1,0,0,51.0,4.0,-3.026415476496805e-07,0.0677489882353947,0,0,0,0,-0.0007692307692307,0,0,38.0,1
CAN-IKPHHGPHH7,2,0,2,0,2,0,1,1,1,-72.0,-164.0,-0.0054259956383765,1.406164750450697,1,2,1,-1,0.001525974025974,0,0,24.5,1
CAN-L6EJWJAITB,1,0,1,0,1,1,0,0,0,162.0,-288.0,-0.4002933959062611,0.7989962413277086,0,1,0,0,-0.0004761904761905,0,0,11.0,0
CAN-A5IDDPXXBN,2,1,0,1,2,0,1,1,1,-38.0,88.0,1.1997456188628324,-0.313713299913178,1,-1,0,0,0.0005519480519481,1,1,19.5,1
CAN-OKLWI031HO,0,0,0,0,0,0,0,0,2,107.0,-129.0,-0.1743377128984858,0.896133994094741,0,1,0,1,0.0027380952380953,0,0,0.0,0
CAN-ZSBIH6WYTH,1,0,1,0,1,0,0,1,0,187.0,-343.0,-0.2360690743048407,0.8929180577590625,0,1,-1,0,0.0018571428571428,0,0,4.0,0
CAN-LJ5V2FYXLM,1,1,0,0,1,1,0,0,3,7.0,59.0,0.0341024548176753,0.8152641906860876,0,1,0,1,-0.0084285714285714,0,0,36.0,1
CAN-VRLP6FJR5E,1,0,1,0,1,0,1,0,0,51.0,-122.0,-0.16629443099634,0.6375661401342299,0,1,0,0,-0.0002380952380951,0,0,2.0,0
CAN-D5LJOJM6RO,2,0,2,0,2,2,0,0,3,50.0,-296.0,-0.1878471855294099,2.8284693148081073,-1,4,0,1,2.840909090895405e-05,0,0,24.0,1
CAN-3CL1045CGX,2,1,1,0,2,1,0,1,1,-635.0,-54.0,1.7955752401318616,0.3761924491510362,2,0,0,1,-0.0048376623376623,0,0,10.0,0
CAN-R0TKOFOSVU,1,0,1,0,1,1,0,0,0,88.0,-90.0,-0.7051176762600246,0.3032566764400852,-1,1,0,1,-9.80392156864074e-05,0,0,8.0,0
CAN-V95EHLZUHQ,0,0,0,0,0,0,0,0,3,-82.0,55.0,0.3773100251617354,0.4703732130575184,1,0,0,1,-0.0019480519480519,0,0,0.0,0
CAN-JUR9CRBOBB,2,1,1,0,2,1,0,1,0,-116.0,-172.0,0.6533872199543522,0.644221687757601,1,1,0,0,0.0011282051282051,0,0,21.0,1
CAN-VLWN74ODYS,1,0,1,0,1,0,1,0,1,39.0,-54.0,-0.2002877049889698,1.4044656950264272,0,1,0,0,-0.0003571428571428,0,0,31.0,1
CAN-3X6FPE9Q6I,1,0,1,0,1,1,0,0,2,87.0,-180.0,-0.0459426992809775,2.0414291907148705,0,2,0,0,-0.0017207792207791,0,0,48.0,1
CAN-337GK316E5,2,1,1,0,2,0,1,1,0,-1.0,-237.0,0.3863630338112218,0.6221252007332212,0,1,1,0,-0.0002678571428571,-1,-1,43.5,2
CAN-76ADVG9NVE,1,0,1,0,1,0,1,0,2,-191.0,-174.0,0.4557396814329968,1.401694281055775,1,2,1,1,-0.0040769230769232,0,0,10.0,0
CAN-NTAINPIZ0A,2,1,1,0,2,0,0,2,1,-33.0,22.0,0.2419456951266565,0.6495752356748425,0,1,0,1,0.0010504201680672,0,0,33.5,1
CAN-IW6JXZW0WC,1,1,0,0,1,0,1,0,0,-91.0,137.0,0.3242807649317689,-0.0263003174945532,1,0,0,0,-0.0001923076923077,0,0,36.0,1
CAN-HHCL4OHBWI,1,0,1,0,1,1,0,0,0,16.0,-250.0,-0.2427510425791543,0.8075673398678422,0,1,0,1,0.00010989010989,0,0,22.0,0
CAN-070IVOS11T,1,0,1,0,1,0,0,1,1,-43.0,-60.0,-0.2042634598673036,0.467586335205447,1,0,0,0,-0.0051190476190476,1,1,19.0,0
CAN-92WQFWID3C,2,0,1,1,1,1,1,0,2,-324.0,25.0,0.3394578574862192,0.5406647972398666,0,0,0,0,-0.004102564102564,0,0,29.0,1
CAN-OUUU51REC4,1,0,1,0,1,0,1,0,2,84.0,-55.0,-0.4545087861601406,1.7654097451331796,-1,1,0,2,0.0018333333333333,0,0,12.0,0
CAN-54YPSJ2HOY,2,1,1,0,2,0,2,0,1,-32.0,-34.0,1.243128924824447,0.6425290949088616,1,1,0,0,0.0002884615384615,0,0,23.0,1
CAN-6GYH2VM17T,2,2,0,0,2,2,0,0,1,-54.0,-377.0,1.2791863177223042,0.5930228467804977,1,1,0,0,-0.0017307692307693,0,0,29.0,1
CAN-I1I5ZEBNOS,2,1,1,0,2,0,1,1,3,26.0,0.0,0.6368567082403238,0.3578880248682148,1,0,1,0,0.0027840909090909,0,0,18.0,1
CAN-VGA5ERF323,1,0,1,0,1,1,0,0,0,48.0,-85.0,-0.3905229407612344,0.6044990664897121,-2,1,0,1,-0.0001923076923077,0,0,39.0,1
CAN-1ILR4V7QSU,1,0,1,0,1,1,0,0,0,20.0,-115.0,-0.0158045345552953,0.8141477042613132,0,1,0,1,-0.005054945054945,0,0,15.0,0
CAN-UAT456IPE8,2,1,1,0,2,1,1,0,0,-56.0,-95.0,0.7016967921237962,0.785479093995052,1,1,0,1,0.0015476190476191,0,0,29.0,1
CAN-JPQG1LX2MI,1,1,0,0,1,1,0,0,0,28.0,28.0,0.4885676530228912,-0.0114493034228247,1,0,0,0,-0.0032499999999998,0,0,52.0,1
CAN-WIW90UQ920,0,0,0,0,0,0,0,0,1,-17.0,80.0,0.0393205669673677,-0.2921098929254102,1,0,1,0,-0.0003205128205128,0,0,0.0,0
CAN-E3C8YWWQ7Y,0,0,0,0,0,0,0,0,0,169.0,169.0,-0.3968749297593682,-0.3173292510921853,0,0,0,0,0.0,0,0,0.0,0
CAN-3KH9A6IWRD,1,0,1,0,1,1,0,0,0,41.0,-34.0,-0.001688420875526,0.6717678068530537,0,0,0,0,-0.0003636363636363,0,0,16.0,0
CAN-3EBVNYT2KD,2,2,0,0,2,1,1,0,0,-17.0,98.0,0.8019055066163858,-0.3423735641592691,1,0,1,0,0.0036274509803921,0,0,20.5,1
CAN-1EJVSHCWNY,2,1,1,0,2,1,0,1,0,-191.0,-27.0,0.8090382807844974,0.4339157751158812,1,0,0,0,-0.0028461538461538,1,1,7.5,0
CAN-V2R3ZOQEJ1,0,0,0,0,0,0,0,0,2,3.0,37.0,0.2179446671721723,-0.099936007291188,0,0,0,0,0.0020000000000001,0,0,0.0,0
CAN-WOQVTRSPZN,0,0,0,0,0,0,0,0,0,177.0,177.0,-1.1572609885689376,-0.3844895687232267,-1,0,0,0,0.0,0,0,0.0,0
CAN-MDWNE723VW,1,0,1,0,1,1,0,0,0,62.0,-328.0,-0.0456423015015736,0.787259701057207,0,1,0,1,-0.0001923076923077,0,0,19.0,0
CAN-DOPNRIG3J7,1,0,1,0,1,1,0,0,0,119.0,-155.0,-0.9925982796134628,0.6916044262527088,-2,1,0,1,-0.0006593406593405,0,0,17.0,0
CAN-6QAYDH0ADT,2,1,1,0,2,1,0,1,4,-264.0,-229.0,2.5749066600376915,1.2326601545443006,3,2,1,1,-0.0003571428571427,0,0,33.0,1
CAN-4IPKUJXM5L,2,1,1,0,1,1,1,0,0,-38.0,-28.0,0.7510217369455212,0.6332690051143768,1,0,0,0,-0.0040178571428572,0,0,19.5,1
CAN-XFPTBZAKD4,2,2,0,0,2,0,1,1,2,-99.0,-337.0,1.313190056886448,1.6585015300473185,2,2,1,0,0.0005714285714287,0,0,42.5,2
CAN-FR0BWWT3A8,2,1,1,0,2,1,1,0,1,-134.0,-91.0,1.4071640619525216,0.6910072422633422,2,1,1,0,0.0015,0,0,9.0,0
CAN-G0L4UBD0A7,2,1,1,0,2,0,0,2,0,-38.0,-85.0,0.1532893556138332,0.3074326290231051,0,1,0,0,-3.2051282051415164e-05,0,0,48.5,2
CAN-JCK74X4W0W,1,0,1,0,1,0,0,1,0,141.0,3.0,-0.0621124197077394,0.1532720836075867,0,0,0,1,0.0003030303030303,0,0,10.0,0
CAN-HDSDDNZC20,1,0,1,0,1,0,1,0,3,-406.0,-2.0,1.2292199065269946,0.4643699593054537,2,0,1,0,-9.090909090903045e-05,0,0,27.0,0
CAN-TVWR08PFRB,1,0,1,0,1,0,0,1,0,54.0,-395.0,-0.103856760361668,0.7401610474625536,0,1,0,0,0.0017619047619047,0,0,34.0,1
CAN-1AASQGX2CY,1,0,1,0,1,0,0,1,1,185.0,-244.0,-0.0354905912573432,1.1406758006931534,0,1,0,0,-0.0003571428571428,0,0,9.0,0
CAN-QN7D4RMLGM,4,2,2,0,1,2,0,2,2,-30.0,-41.0,0.656490715406779,2.243154527197644,0,1,0,1,-0.0069523809523807,0,0,28.5,1
CAN-908V6WHWCS,0,0,0,0,0,0,0,0,2,110.0,20.0,-0.0530410722236683,-0.1659175563994459,0,-1,0,0,0.0034965034965035,0,0,0.0,0
CAN-LN7251FHUX,0,0,0,0,0,0,0,0,2,-35.0,-79.0,-0.0253252085583745,0.1686714131891251,1,0,0,0,-0.0001398601398601,0,0,0.0,0
CAN-3NG91MHXO7,2,0,2,0,2,1,1,0,0,18.0,-40.0,-0.1097542268891983,1.2646016894752403,0,1,0,1,0.0019047619047619,0,0,51.5,2
CAN-Z10NEOQ4MK,2,1,1,0,2,1,1,0,0,27.0,-3.0,-0.620426188079346,0.0811688796784955,-1,0,0,0,-0.0003636363636364,0,0,33.5,1
CAN-4TE7NMPPJE,1,0,1,0,1,0,1,0,0,76.0,-6.0,-0.0263518442433612,0.0657908847016115,0,1,0,1,-0.0001648351648351,0,0,4.0,0
CAN-BC7LWI7DC0,2,0,2,0,2,1,1,0,0,16.0,-160.0,-0.2201187537418605,1.419960164358919,0,2,0,0,-0.0002678571428572,0,0,38.5,1
CAN-7LDHGE6GQ9,0,0,0,0,0,0,0,0,2,-123.0,0.0,0.5885247181584581,0.0739894696085678,1,0,0,1,-0.000595238095238,0,0,0.0,0
CAN-ZL6567MUKS,1,0,1,0,1,0,0,1,3,-5.0,-334.0,0.2798413872729673,1.69457992966024,0,2,0,0,0.0025714285714284,0,0,41.0,1
CAN-5AP4PCTW20,2,2,0,0,2,0,0,2,4,-118.0,-267.0,2.8263782126403427,0.5749964259522351,3,1,0,1,-0.0013125000000001,0,0,25.5,1
CAN-0LVRQM5VTY,2,0,2,0,1,0,2,0,0,167.0,-129.0,-0.220555653366802,1.1075511242303255,0,1,-1,0,-0.0003076923076922,0,0,36.0,1
CAN-2RUM709LFI,1,0,1,0,1,0,0,1,0,27.0,27.0,-0.2119490733744391,0.4966007929390312,-1,1,0,1,-0.0002380952380951,0,0,50.0,1
CAN-F953MK2ZGB,0,0,0,0,0,0,0,0,0,40.0,40.0,-0.1017920668602728,-0.1244493161976303,0,0,0,0,0.0,0,0,0.0,0
CAN-2UGC3PJWW5,2,2,0,0,2,2,0,0,1,-44.0,110.0,1.5537445526913023,-1.3270110301525135,3,-3,1,0,0.003485576923077,0,0,50.0,2
CAN-T2MXQ0S8A2,2,2,0,0,2,0,1,1,1,-543.0,-328.0,1.8562496932415256,0.6956232035853146,2,1,1,1,-0.0019480519480519,0,0,6.5,0
CAN-T24W1R3U06,2,1,0,1,2,1,1,0,1,-345.0,132.0,1.3410843915851425,-0.0507898356019374,2,0,0,0,0.0005519480519481,0,0,49.5,2
CAN-AUAYH7RVG1,1,0,1,0,1,0,1,0,2,18.0,-445.0,0.6198913378499887,0.7526069431881979,1,1,0,0,-0.0013333333333332,0,0,29.0,0
CAN-Z8MAV3XV6H,1,1,0,0,1,0,1,0,1,-64.0,109.0,0.9159710338876698,-0.2149330953583629,2,0,1,0,0.001993006993007,0,0,44.0,1
CAN-EXFZPJ9GFU,1,0,1,0,1,1,0,0,1,72.0,-167.0,-0.1749769171973375,0.3725203774116117,-1,1,0,0,-0.0055,0,0,26.0,0
CAN-7KCFS10PN4,2,1,1,0,2,1,0,1,2,-76.0,-12.0,0.9843510469622564,0.4966138231609018,2,0,1,0,0.0027083333333333,-1,-1,47.5,2
CAN-2ZBXTGTFXO,0,0,0,0,0,0,0,0,0,82.0,82.0,-0.0706542553001043,-0.0090775944734909,0,0,0,0,0.0,0,0,0.0,0
CAN-A272JRB7SZ,1,1,0,0,1,0,0,1,0,-510.0,59.0,0.873800258134158,-0.8514528760615936,1,0,-1,0,0.001952380952381,0,0,13.0,0
CAN-FUNIRZSNWI,2,2,0,0,2,0,0,2,3,-160.0,-127.0,2.330245888140835,0.2534031403305228,3,0,1,0,-0.0008522727272728,0,0,30.5,1
CAN-NBHBPULX8I,2,2,0,0,1,1,1,0,1,-98.0,-372.0,1.3550047539293906,0.6642852695365962,1,1,2,0,-0.0006923076923076,0,0,25.0,1
CAN-OOYNDOAL1O,2,1,1,0,2,2,0,0,0,-438.0,27.0,0.6684588572643522,0.1690640071372571,1,1,0,0,0.0021428571428571,0,0,39.0,1
CAN-07NH0GGO91,1,0,1,0,1,0,1,0,1,169.0,8.0,-0.5068813425849282,0.4484674696466383,0,0,0,1,-0.0042564102564102,0,0,49.0,1
CAN-Y7C3SKI1TJ,0,0,0,0,0,0,0,0,0,97.0,97.0,-0.0869973233672293,-0.1737639066684452,0,0,0,0,0.0,0,0,0.0,0
CAN-1N0TT133VC,0,0,0,0,0,0,0,0,0,29.0,29.0,-0.0021652127019248,-0.1460672992788021,0,0,0,0,0.0,0,0,0.0,0
CAN-TF8F7HXS8H,0,0,0,0,0,0,0,0,0,84.0,84.0,-0.1001102266174793,-0.2613704370000095,0,-1,0,0,0.0,0,0,0.0,0
CAN-NLM2FQOWDX,1,0,1,0,1,1,0,0,0,184.0,-75.0,-0.3879724371647834,0.5059154058338571,0,0,0,1,-0.0006410256410256,0,0,12.0,0
CAN-71NZ4LLTW0,2,1,1,0,2,1,1,0,2,-1.0,19.0,0.1682516749426342,0.2280734682739618,0,0,0,-1,-0.0003125,0,0,43.0,2
CAN-0ELVPE0E8Z,1,0,1,0,1,0,1,0,0,110.0,33.0,-0.1377078604212647,-0.3489213349361919,0,-1,0,1,-0.0046190476190476,0,0,48.0,1
CAN-I3PXA23LZ0,1,0,1,0,1,1,0,0,1,113.0,-619.0,-0.2411291281308754,1.2328900313655622,0,1,0,0,-0.0054871794871795,0,0,31.0,1
CAN-VR0B81LPAT,2,1,1,0,2,1,1,0,0,-156.0,-144.0,0.5668439511798153,0.3866241021423079,1,1,0,0,0.0012121212121212,0,0,46.0,2
CAN-1JVUE0ZDL6,1,1,0,0,1,1,0,0,0,-156.0,91.0,0.6282242408671166,-0.8645261394187858,1,-1,0,0,0.0007051282051282,0,0,35.0,1
CAN-RV93OF6JXL,2,1,1,0,2,0,1,1,1,-181.0,-41.0,1.2218874034218752,-0.0930690350089846,2,0,0,0,0.0006666666666667,0,0,24.5,1
CAN-T6ZUORBXEU,2,2,0,0,2,0,1,1,1,-683.0,11.0,1.5578219460693326,-0.0742253461395234,2,0,1,0,-0.0012605042016808,0,0,31.5,1
CAN-U36WPUW3RA,2,0,2,0,2,0,2,0,0,30.0,18.0,-0.1436971229210568,1.2502748352031627,-1,1,0,1,0.0037946428571428,0,0,30.0,1
CAN-J3GS6236AW,0,0,0,0,0,0,0,0,2,-36.0,151.0,0.7993641693651381,-1.306154571846906,1,-2,0,0,0.0039160839160838,0,0,0.0,0
CAN-6RRN2MTNG4,1,1,0,0,1,1,0,0,0,-5.0,35.0,0.6450346361383317,-0.2387967684643978,1,0,0,0,0.0028296703296704,0,0,11.0,0
CAN-Z0CGKQO04W,1,1,0,0,1,0,0,1,0,-95.0,54.0,0.8115343059010629,-0.3536879215123844,1,-1,0,0,-0.0005128205128204,0,0,2.0,0
CAN-3YZWCSOHI9,1,0,1,0,1,0,0,1,1,149.0,-164.0,-0.5088676087958948,1.4315604962273758,-1,2,0,0,-0.0022499999999999,0,0,4.0,0
CAN-LT86W69K2H,2,1,1,0,1,2,0,0,0,-231.0,-390.0,0.8463531640234212,0.6510001909631908,1,1,0,0,-0.0004464285714286,0,0,32.5,1
CAN-46MO9NSNRF,2,2,0,0,2,2,0,0,0,-236.0,126.0,1.631382199030839,-0.1647753949075732,2,0,0,0,0.0013076923076923,0,0,15.5,0
CAN-YRP1M0OW0R,2,1,1,0,2,0,1,1,0,-48.0,-183.0,0.5135211032838953,0.5991058485411327,1,1,0,1,-0.0008928571428572,0,0,50.0,2
CAN-18Q1KNHG43,1,0,1,0,1,1,0,0,2,104.0,-220.0,-0.886322003206391,1.1239245540856289,-2,1,0,0,-0.0012662337662338,0,0,21.0,0
CAN-EG8RAQ3DCT,1,0,1,0,1,1,0,0,0,57.0,17.0,-0.3660626014798622,0.2245124051802505,0,0,0,0,0.0035984848484847,0,0,50.0,1
CAN-JDEJWQ7CVV,1,1,0,0,1,0,0,1,0,-103.0,50.0,0.567476346831164,-0.086783806428954,1,0,1,0,-0.0001648351648351,0,0,16.0,0
CAN-QBCN8GCKZY,2,1,1,0,2,0,1,1,4,-315.0,-183.0,1.363478988896056,1.7299590727972562,1,2,1,1,0.0026666666666667,0,0,32.0,1
