candidate_record_id,outer_fold
CAN-8S6ARU7BKP,1
CAN-8WZY5EL0GS,4
CAN-90NXQQ43RV,1
CAN-9UF00BV0SU,0
CAN-9Y4E8DVX0U,1
CAN-A6ETMQZT3D,4
CAN-A8RUHP98S6,4
CAN-ADOF3P33HR,1
CAN-ARNXXD7017,1
CAN-AUHE529DEL,4
CAN-AX8X8VO9JH,1
CAN-B0FYO3ENSX,0
CAN-B8OEQZRDZO,4
CAN-BA2J2OCZ4N,1
CAN-BDFTFJSJN7,3
CAN-BDWF22CYUA,4
CAN-BENX1VQFJF,2
CAN-BG2JQTKE9R,2
CAN-BQ2E1CA8JA,0
CAN-BQA0QBKTW1,3
CAN-BT0Y88Z5VY,2
CAN-C6JQXV1H28,3
CAN-CE82WSAY7G,2
CAN-CJN0H4XCFS,2
CAN-CM7DYFBA7J,2
CAN-CSA9RPF7N0,0
CAN-D0A5SDWYO9,2
CAN-D9Y0VJJ6VW,1
CAN-DANXMJUTSN,2
CAN-DMAU8U15C2,0
CAN-DQTR43KXGL,4
CAN-DRJR4QD6PK,1
CAN-DZXEHKO5JZ,4
CAN-E2FZJZ8WLH,2
CAN-ERSOR4K7QJ,0
CAN-EY5UH24ZIZ,2
CAN-F0PK9CCT7U,3
CAN-F640D3DCIR,4
CAN-FTE9U57RLP,2
CAN-FVPXP9IPUU,0
CAN-G5QOBJADAS,4
CAN-GAZ28IY33B,1
CAN-GP3R1BKFVB,0
CAN-GPXG19LRNA,3
CAN-GRA38D14NY,4
CAN-GS1ASP5I7M,1
CAN-GT29QK48ZR,1
CAN-GTRZMV90GK,2
CAN-GXTMUF9MJ2,1
CAN-GYB9DQNAPG,0
CAN-H08YS9RB2I,2
CAN-H2TOKOI56S,2
CAN-H3DK4NU2ZJ,2
CAN-HA0BA87B8L,2
CAN-HC7VWRKBC4,1
CAN-HJSKW8DII3,4
CAN-HNHZKKFNLR,0
CAN-I0MWENXOTY,1
CAN-I25Z744R3A,0
CAN-I3PAG0MQ4S,4
CAN-I4N8CBG88Z,1
CAN-IA8U1DVUO4,2
CAN-ICKK4E813F,2
CAN-IX71UNKLCC,2
CAN-J2Z8813Q6I,4
CAN-J36EAQ6YIB,1
CAN-J4H3HYSW7L,2
CAN-J4XWX7ACSW,4
CAN-J538MFH2RZ,1
CAN-J9DW7V0B0M,1
CAN-JAC9C5ZY2J,2
CAN-JE4XWOKZY7,0
CAN-JEIC06XTOM,1
CAN-JH3BMQ4XC7,4
CAN-JMSVBKK42K,3
CAN-JR75FSAO9V,1
CAN-JS0TD7RAVV,2
CAN-JTU00IS95H,4
CAN-JUDHP15RCW,3
CAN-JUR9CRBOBB,0
CAN-K7S70RXAMG,1
CAN-KAEH77AZL2,1
CAN-KBNRY7AM6A,3
CAN-KLQH9G2XAA,4
CAN-KMB5GTBPM9,4
CAN-KNFI1QC8WD,0
CAN-L16ZDGA6KP,4
CAN-L55BKTF9S0,3
CAN-LAAZKJS0G8,0
CAN-LEJZ8XH8YE,1
CAN-LJAETPGFMO,1
CAN-LNUVVT5CZH,2
CAN-LO4SALY31V,1
CAN-LPTV3L15GI,3
CAN-LQTYLY754O,0
CAN-LQYOAEONVO,0
CAN-M5PX3JZR1B,1
CAN-M6I6ONFLH6,0
CAN-M8GSUMHUBV,3
CAN-MD6HSPZNPH,3
CAN-MDT600E24L,3
CAN-ME2Q23NS0G,4
CAN-MFBV0FQM3G,0
CAN-MFQ4GY8XPH,2
CAN-MG8XYRNB7R,4
CAN-MKP2V46UCL,3
CAN-MMXHM6U1Q3,1
CAN-MSNJEAB1GA,1
CAN-MYFWBL13VE,0
CAN-N2OQ035YY8,1
CAN-N457EOO43R,3
CAN-N4QFJS875I,1
CAN-NJIWES3CMC,3
CAN-NLM2FQOWDX,3
CAN-NS2I9QFL3T,1
CAN-NZ60ITUAMZ,0
CAN-O523BGV6IR,3
CAN-O8J5XQ1QHK,1
CAN-OAOG54YAZO,1
CAN-OHKKF3MKJ3,3
CAN-OKRGM086UH,4
CAN-OKX1I6CA68,1
CAN-OQIKHLUC4W,3
CAN-OV2OP0BPC2,1
CAN-OX9BJ0D2O1,0
CAN-P049Y8KP5Z,2
CAN-P2BMVSIWSO,4
CAN-P4RVWAG757,0
CAN-P69V1TRALB,4
CAN-PBRR29HATJ,3
CAN-PFB5DKD37Z,0
CAN-Q0VG7NCDFO,4
CAN-Q1G8222TVV,4
CAN-Q7RFRQTAQZ,2
CAN-QA6NLD1VOR,1
CAN-QCF4GZN8TD,1
CAN-QCQLTNKON8,3
CAN-QM71SGDM4I,0
CAN-QQXBJU6M6L,0
CAN-QU6MD5TN0F,0
CAN-QUQOLS2HT8,4
CAN-QZE5QAIJ2T,3
CAN-R18R0Y2KT1,3
CAN-R3FQ58SFFS,4
CAN-R3PHPYEEK1,4
CAN-R59D8GNWOE,0
CAN-R86U0E2XY5,4
CAN-RAC3AUDPMW,4
CAN-RB7I4QYEUI,3
CAN-RG84ONNZ7C,0
CAN-RH7J269JWB,0
CAN-RLFHYDAOTO,2
CAN-RSAGRRSRCU,1
CAN-RWVLQ6JSLV,2
CAN-RXMWDVU7JD,3
CAN-SC42SBD0LB,2
CAN-SHRRQNVCIC,2
CAN-SIIOAIPEG6,2
CAN-SR7RMC873R,2
CAN-STFR13OJLS,4
CAN-SXC7CQRKWL,2
CAN-T3BSOKDD2P,0
CAN-TEZC5LDGEW,3
CAN-TK9TB1S19Y,1
CAN-TLVR8Y2L8B,1
CAN-TOCVLBL1FO,0
CAN-TSX3YOZ6OH,4
CAN-TT3YS2Q6D9,3
CAN-U9XCTU7C4F,2
CAN-UC0X4CF5YC,2
CAN-UC1GUSFB8Y,0
CAN-UC3CXNT45X,4
CAN-UIDCKJCDCX,4
CAN-UOZRL1V8KU,2
CAN-UQQIYRW0PD,0
CAN-USBPGXP3DA,3
CAN-UVG366PFKZ,4
CAN-UXJU0P1A4M,2
CAN-V2L4EF4KSE,0
CAN-V9M5ANAVAQ,1
CAN-VB1685ICUZ,0
CAN-VDBBB1U640,2
CAN-VHIJVPARK8,2
CAN-VIYZ36BREN,4
CAN-VJ1ATXQ4KR,4
CAN-VNPISGXD4Q,3
CAN-VRIHDH9JWE,3
CAN-VT4PWKOXUS,2
CAN-VY0CLY1UJZ,3
CAN-W10A9RCR81,3
CAN-W1O813CX74,0
CAN-W41T8OR50L,4
CAN-W803WTVEJV,2
CAN-WAM0MZEWD7,4
CAN-WMUAXBCUOI,1
CAN-WMYE9H5KHU,2
CAN-WNGDAMUN3D,2
CAN-WP2EAZABSX,0
CAN-WQQAVM6KJ0,0
CAN-WRYT3JA62H,4
CAN-WSZ2K6LRDA,4
CAN-X66G0DQZY1,1
CAN-X83JEQTGZH,3
CAN-XFRLQDC4M8,2
CAN-XM0NTONS8I,3
CAN-XY38I4LIXQ,1
CAN-Y1NS971FST,2
CAN-Y1ONULRYLB,2
CAN-Y746C1F209,4
CAN-Y8KKG8V4R5,1
CAN-YGWAL6CGCM,3
CAN-YM0I69QM0I,3
CAN-YP40LZV7HG,3
CAN-YPY46FBMCC,1
CAN-YVRMB50LXO,1
CAN-Z2FMDPQZ6U,4
CAN-Z33ALI17FK,0
CAN-Z38H9W4ZGC,0
CAN-Z7ABOKWLUW,2
CAN-ZG2995G25E,3
CAN-ZKFSI428I3,3
CAN-ZMVKC63G2A,1
CAN-ZQ0GWKIZ51,3
CAN-ZSGTTG0DNE,2
CAN-ZSJALHV9SZ,2
CAN-ZT3OGP0JXS,3
CAN-ZUC41D21E3,4
CAN-ZWF0AYKB18,4
