candidate_record_id,t0__address_history,t0__external_context_signals,t0__license_id_events,t0__vehicle_title_events,t0__work_location_signals,t1__evidence_update_stream
CAN-EUJ0RZ9M2G,3,2,3,3,1,2
CAN-OH8DYHHVII,3,2,3,3,2,1
CAN-W371W1IRIZ,2,3,3,3,2,1
CAN-WXWQ2B8FBC,3,3,3,3,2,2
CAN-RV83KBIIKN,2,3,3,3,2,1
CAN-9VHPPBI046,2,2,3,3,2,1
CAN-IKPHHGPHH7,3,3,3,1,2,2
CAN-L6EJWJAITB,3,3,3,3,2,1
CAN-A5IDDPXXBN,3,2,3,2,2,2
CAN-OKLWI031HO,3,3,3,3,2,0
CAN-ZSBIH6WYTH,3,3,3,3,2,1
CAN-LJ5V2FYXLM,3,3,3,2,2,1
CAN-VRLP6FJR5E,3,3,3,3,2,1
CAN-D5LJOJM6RO,3,3,3,3,2,2
CAN-3CL1045CGX,2,3,3,2,2,2
CAN-R0TKOFOSVU,3,3,4,4,3,1
CAN-V95EHLZUHQ,3,3,3,3,2,0
CAN-JUR9CRBOBB,3,2,3,3,2,2
CAN-VLWN74ODYS,2,3,3,3,2,1
CAN-3X6FPE9Q6I,3,3,3,3,1,1
CAN-337GK316E5,3,3,3,3,2,2
CAN-76ADVG9NVE,1,3,3,3,2,1
CAN-NTAINPIZ0A,3,4,3,3,2,2
CAN-IW6JXZW0WC,2,3,3,2,2,1
CAN-HHCL4OHBWI,3,3,3,2,2,1
CAN-070IVOS11T,3,3,2,3,2,1
CAN-92WQFWID3C,1,2,3,3,2,2
CAN-OUUU51REC4,3,3,3,3,2,1
CAN-54YPSJ2HOY,3,3,3,3,2,2
CAN-6GYH2VM17T,3,3,3,3,2,2
CAN-I1I5ZEBNOS,3,3,3,3,2,2
CAN-VGA5ERF323,3,3,3,2,1,1
CAN-1ILR4V7QSU,3,3,3,2,2,1
CAN-UAT456IPE8,3,3,2,2,2,2
CAN-JPQG1LX2MI,3,3,3,3,3,1
CAN-WIW90UQ920,2,3,3,3,2,0
CAN-E3C8YWWQ7Y,2,3,3,2,1,0
CAN-3KH9A6IWRD,3,3,1,2,1,1
CAN-3EBVNYT2KD,4,3,3,3,2,2
CAN-1EJVSHCWNY,3,3,3,2,2,2
CAN-V2R3ZOQEJ1,2,4,3,2,1,0
CAN-WOQVTRSPZN,3,3,3,3,2,0
CAN-MDWNE723VW,3,2,3,2,2,1
CAN-DOPNRIG3J7,3,3,3,3,1,1
CAN-6QAYDH0ADT,2,2,3,3,2,2
CAN-4IPKUJXM5L,3,3,3,3,2,2
CAN-XFPTBZAKD4,3,3,3,2,1,2
CAN-FR0BWWT3A8,3,2,3,3,2,2
CAN-G0L4UBD0A7,5,6,7,4,2,2
CAN-JCK74X4W0W,3,2,3,1,2,1
CAN-HDSDDNZC20,3,3,3,3,2,1
CAN-TVWR08PFRB,3,3,3,3,2,1
CAN-1AASQGX2CY,3,3,3,2,2,1
CAN-QN7D4RMLGM,4,4,3,4,2,4
CAN-908V6WHWCS,3,3,3,3,1,0
CAN-LN7251FHUX,2,3,3,3,2,0
CAN-3NG91MHXO7,3,3,3,2,1,2
CAN-Z10NEOQ4MK,5,5,4,4,2,2
CAN-4TE7NMPPJE,3,3,3,3,1,1
CAN-BC7LWI7DC0,3,3,3,3,2,2
CAN-7LDHGE6GQ9,3,3,3,3,2,0
CAN-ZL6567MUKS,3,3,3,3,1,1
CAN-5AP4PCTW20,3,3,3,3,2,2
CAN-0LVRQM5VTY,3,3,3,3,1,2
CAN-2RUM709LFI,3,3,3,3,2,1
CAN-F953MK2ZGB,3,2,4,3,2,0
CAN-2UGC3PJWW5,3,3,3,3,2,2
CAN-T2MXQ0S8A2,2,3,3,3,1,2
CAN-T24W1R3U06,2,3,3,2,2,2
CAN-AUAYH7RVG1,3,3,3,3,2,1
CAN-Z8MAV3XV6H,2,3,3,3,1,1
CAN-EXFZPJ9GFU,2,3,3,1,2,1
CAN-7KCFS10PN4,3,3,3,3,2,2
CAN-2ZBXTGTFXO,0,1,3,0,0,0
CAN-A272JRB7SZ,3,3,3,3,2,1
CAN-FUNIRZSNWI,3,3,3,3,2,2
CAN-NBHBPULX8I,3,1,3,3,1,2
CAN-OOYNDOAL1O,2,3,3,2,2,2
CAN-07NH0GGO91,3,3,3,3,2,1
CAN-Y7C3SKI1TJ,2,3,3,3,2,0
CAN-1N0TT133VC,2,2,3,2,1,0
CAN-TF8F7HXS8H,3,3,3,3,2,0
CAN-NLM2FQOWDX,2,2,3,3,2,1
CAN-71NZ4LLTW0,3,3,3,3,2,2
CAN-0ELVPE0E8Z,3,3,3,3,2,1
CAN-I3PXA23LZ0,3,3,3,3,2,1
CAN-VR0B81LPAT,1,3,2,2,1,2
CAN-1JVUE0ZDL6,3,2,3,3,1,1
CAN-RV93OF6JXL,2,3,3,3,2,2
CAN-T6ZUORBXEU,3,4,3,3,2,2
CAN-U36WPUW3RA,3,3,3,3,2,2
CAN-J3GS6236AW,3,3,3,3,1,0
CAN-6RRN2MTNG4,3,3,2,3,2,1
CAN-Z0CGKQO04W,3,2,3,2,2,1
CAN-3YZWCSOHI9,2,2,3,2,2,1
CAN-LT86W69K2H,3,3,3,3,2,2
CAN-46MO9NSNRF,3,3,3,3,1,2
CAN-YRP1M0OW0R,3,3,3,3,2,2
CAN-18Q1KNHG43,2,3,3,3,2,1
CAN-EG8RAQ3DCT,2,2,3,3,1,1
CAN-JDEJWQ7CVV,3,3,3,3,1,1
CAN-QBCN8GCKZY,3,2,3,3,2,2
CAN-LWMJSXHIC7,6,4,4,4,3,3
CAN-JDCQU5WA5S,3,2,3,3,2,2
CAN-Q7HNG2GSBG,2,3,3,3,2,2
CAN-6NARL779MS,3,3,3,3,2,1
CAN-I6A6TLNAEK,3,2,3,3,1,1
CAN-FMUDUDCCQ1,5,3,4,2,2,1
CAN-6PXEHF8U9A,3,2,3,2,2,1
CAN-77C3LN7F3W,3,3,3,3,2,1
CAN-R2GQ9QC70X,2,1,3,2,1,2
CAN-JFXPNATKCB,3,3,3,3,2,0
CAN-XQ03J0NVRE,3,3,3,3,2,2
CAN-D6N1PRVZX4,3,3,3,3,2,1
CAN-XEBO74HVI2,3,3,3,2,1,2
CAN-NM1ZI3SR0Z,3,2,3,3,2,2
CAN-9MZNFXW1XL,2,2,3,2,2,1
CAN-B08WKL6OXJ,3,3,3,3,2,2
CAN-UU6X53E692,2,3,3,3,1,0
CAN-9JDS02RP60,3,3,4,3,2,2
CAN-2G1JFT6ZTJ,3,2,3,3,2,1
CAN-L0SP7JMIHO,2,2,3,3,2,2
CAN-LLTSKFVXT5,3,2,3,2,1,2
CAN-BI6UPTQNW3,3,2,3,3,2,0
CAN-TELUJ788TA,3,1,3,3,2,1
CAN-MF3YOTPYUG,3,3,3,3,2,0
CAN-U335I66X1L,2,3,3,2,2,1
CAN-EE22T85Z00,3,3,3,3,2,2
CAN-1EDIVO89WQ,3,3,3,3,2,2
CAN-7US9OUHJZZ,3,1,3,3,2,1
CAN-XP0H4OGY4R,2,3,3,3,2,2
CAN-R2K9KWW4IR,2,3,3,3,2,2
CAN-73I5UOYJ8S,3,2,3,2,1,2
CAN-U1Z8R52VZL,3,3,3,3,2,2
CAN-XG27DZO3KB,2,3,3,3,2,2
CAN-P1PYL25ZL9,3,3,3,3,2,2
CAN-1ECQAGI5JP,3,2,3,3,2,2
CAN-N4BSTUTXRQ,2,3,3,3,2,1
CAN-F7ABXDAHZE,3,3,3,3,2,1
CAN-D40KMUYRCC,3,3,3,3,1,0
CAN-84VS7OTHWK,3,3,3,3,2,2
CAN-WM9XMB3PWK,3,2,3,3,2,2
CAN-LGTT4L633J,3,2,3,3,2,1
CAN-2B1096MPJS,3,3,2,2,2,1
CAN-046H2OTGZ2,3,3,3,3,2,1
CAN-MEIBJK60VH,3,3,3,3,3,2
CAN-O4D2DLAWKI,3,2,3,2,2,1
CAN-IL8QQWT5OK,3,3,3,3,2,2
CAN-NEJAGGG787,4,4,5,4,2,2
CAN-GVYIKMFI01,3,3,3,1,3,2
CAN-E8WREAT26H,3,2,3,3,2,1
CAN-UK90NK9MK6,2,2,3,3,1,1
CAN-N475PRCCVF,3,3,3,3,2,2
CAN-T5ACUEME65,3,3,2,2,2,0
CAN-QHZI2LU513,6,5,3,5,2,1
CAN-FPLA3VZS48,3,3,3,3,1,1
CAN-GXJ24HCJNA,2,3,3,3,1,1
CAN-ZT2IKHIVWC,3,3,3,2,2,2
CAN-MUPLMDT834,3,3,3,3,2,1
CAN-OW71KH6RQ7,3,3,3,3,2,1
CAN-G36TJAL2Q4,3,3,3,3,2,1
CAN-B5EQTB2LC6,2,2,3,2,2,0
CAN-O0L31WSOXI,3,3,3,3,2,0
CAN-CJG1ESE5OV,3,3,3,3,1,1
CAN-15LMACETZC,2,3,3,3,2,1
CAN-OQJMDWVDR6,3,3,3,3,2,2
CAN-5SULZ3EPLX,3,3,3,3,2,1
CAN-B71NIJK0PO,3,2,3,3,1,1
CAN-3RND4T0X14,3,2,3,3,2,2
CAN-Z3AKT906IV,3,3,4,3,2,1
CAN-D7OFE7904M,3,3,3,3,1,1
CAN-TH7FSXK3PY,3,3,3,3,2,2
CAN-YQ838YTNHA,3,3,3,3,2,1
CAN-2Z0DNB6RWM,3,2,3,2,2,1
CAN-U2DOG5J182,2,3,3,3,2,1
CAN-2RO39SR77J,3,2,3,2,1,2
CAN-238AB5ILJG,3,3,3,3,2,1
CAN-VZ650TYCSE,3,4,3,3,2,1
CAN-M8GSUMHUBV,3,2,3,2,2,1
CAN-ZXU3GWSYOV,3,3,3,3,2,1
CAN-ODJE98CJ4M,3,3,4,3,2,1
CAN-BA7BKK47E5,3,3,3,3,2,2
CAN-VPVPZMJCKO,3,3,3,2,2,2
CAN-B93C5LMJ1D,3,1,3,3,2,1
CAN-SXZMFLL39T,3,2,3,3,2,2
CAN-A9BVZ5VI2P,1,2,3,3,2,2
CAN-PME4SMBLB0,3,3,3,3,2,2
CAN-FHDP42GS8Z,3,3,3,2,2,2
CAN-RS43Q0NBOV,2,3,3,3,1,2
CAN-Q1Z2W4ETWX,3,2,3,0,1,2
CAN-JKVNCFXC88,3,2,3,3,2,2
CAN-TILN0CJCT7,3,3,3,3,2,2
CAN-ADAXVSSUQF,3,3,3,3,2,0
CAN-MJU9VHX1LM,3,4,3,3,2,1
CAN-EGXGIG4YH3,3,3,3,3,1,2
CAN-KD1SWPBEUL,2,2,3,3,1,1
CAN-V8EZMZD6H1,3,3,3,3,2,1
CAN-9HENFFRV46,2,2,3,2,2,2
CAN-E9ONKPD15H,2,3,3,2,2,1
CAN-M7BPIOIH96,2,3,2,3,0,2
CAN-6Y11Q8U4ES,0,0,3,0,0,0
CAN-O9AGCHKFCR,3,3,3,3,2,1
CAN-VRYEWNRGLR,3,3,3,3,2,2
CAN-Q46VSR3OE1,2,3,3,3,2,1
CAN-WYAA29SJU3,3,3,3,3,2,2
CAN-UJ2IJ4UB9A,3,3,3,1,2,0
CAN-FVNWVK9CAW,3,3,3,2,2,2
CAN-QKAQ046RJ3,3,2,3,3,2,0
CAN-1I4VBWBOUB,3,3,3,3,2,2
CAN-X04I0MT32Q,2,2,3,2,1,0
CAN-R4F5MPCFRW,3,3,3,3,2,1
CAN-PP905GVOL3,3,3,3,2,2,1
CAN-6TCJ68NE5F,3,5,3,3,7,2
CAN-FVCOOEFE96,3,3,3,3,2,2
CAN-QK37TROH55,2,2,3,3,1,1
CAN-PK8S4T200Z,3,2,3,3,2,2
CAN-DWRQLJKRQE,3,3,3,3,2,1
CAN-1NJUOH6PAE,3,3,3,3,2,0
CAN-BENX1VQFJF,2,3,3,3,1,1
CAN-LOM6XIWEA8,3,3,3,3,2,2
CAN-NVAM1XKZYL,3,3,3,1,2,1
CAN-A2939UCI7E,3,2,3,3,2,0
CAN-O9HDMRT9CJ,3,3,3,3,2,1
CAN-74P8UWOUTX,3,3,3,3,2,2
CAN-XZ04SFYWJK,3,3,2,3,1,1
CAN-F6JMQ1V0RP,3,2,3,3,2,0
CAN-S1PMITD76I,4,4,3,4,2,3
CAN-SDCTUKCV9S,2,3,3,3,2,1
CAN-LV5Z3IMMF4,2,2,3,2,1,1
CAN-JP0A0U961M,5,4,8,5,4,3
CAN-Y2M1G8VXH3,3,3,3,3,2,2
CAN-3OXMP61K0O,4,3,3,3,2,1
CAN-ESGY1IJI90,3,3,3,2,2,2
CAN-CQL85QKN14,3,3,3,2,2,0
CAN-VW94BYFHRS,3,3,3,2,2,1
CAN-951YRIQW3Y,3,2,3,2,2,2
CAN-1MKCNQM8CT,3,2,3,3,2,2
CAN-42W13LFLZQ,3,3,3,3,2,1
CAN-79FVQOOKBW,3,3,4,4,2,3
CAN-4CBHWQ1F1L,3,3,3,2,0,2
CAN-U0IB690PWT,3,3,3,3,2,2
CAN-6UI1GM8Q6M,3,3,3,3,2,2
CAN-MG8XYRNB7R,1,3,3,3,2,2
CAN-Z10A1WRYYU,0,0,3,0,0,0
CAN-ZCVRZGDVZO,3,3,3,3,2,1
CAN-90EPRXIVM2,3,3,3,3,2,1
CAN-70O6X3U5EE,2,3,3,3,3,1
CAN-ZTPKFDD2I5,3,3,3,3,2,1
CAN-KJDT7PHHNR,3,3,3,3,2,2
CAN-3WGSA16VB0,3,2,3,3,2,1
CAN-I7ALBD8N6D,2,3,2,3,1,2
CAN-A002XBYABO,3,2,3,3,2,1
CAN-DJ67L9VTNZ,3,3,3,3,2,1
CAN-S2HIC9MUFO,3,2,3,3,2,1
CAN-6GEGC7ZW6I,3,3,3,3,2,2
CAN-N4QFJS875I,3,2,3,3,2,1
CAN-11R1839U50,3,3,3,3,2,2
CAN-EU4R3SDM2F,2,2,3,3,2,1
CAN-VAUMWIHHBF,3,3,3,3,2,1
CAN-X2D1TYHKF2,3,2,3,3,2,2
CAN-GV4QYZUWJP,3,2,3,3,2,0
CAN-BUP5U8C8KA,3,3,3,3,3,2
CAN-LISZRCQXU0,2,2,3,3,2,1
CAN-D8KGEPJ465,3,3,3,3,2,1
CAN-Q070V1JUYZ,4,3,3,3,2,1
CAN-WDYP2JS7IJ,3,3,3,3,2,0
CAN-UO7MNTLNF8,3,3,3,3,2,1
CAN-RGH3OJ5RS0,2,3,3,3,2,2
CAN-HXY28UIBI3,3,3,3,3,2,1
CAN-IOWZGW8YRG,3,3,3,3,1,1
CAN-X11R1PNTQH,2,1,3,3,2,1
CAN-8ZLAGRLH9Z,2,3,3,3,2,1
CAN-SBHARUVC3K,2,3,3,2,2,1
CAN-ZHNM78PYRP,3,1,3,3,2,0
CAN-ZFI3LXQPF7,1,2,3,2,2,1
CAN-JZFCL1LMF2,3,2,3,2,2,0
CAN-OY02RUIUHA,3,3,3,3,1,1
CAN-V23BVE8JED,3,3,3,3,2,1
CAN-OHVI503YC2,3,3,3,3,2,2
CAN-YRYJP3WKT0,2,3,3,2,2,1
CAN-4T5MQ6DTMK,3,3,3,3,2,2
CAN-VT1HTL05FG,0,0,2,0,0,0
CAN-VX0GJQ925U,3,3,3,2,2,2
CAN-YB41B3K2FF,2,2,3,3,2,2
CAN-S905Z3V22F,3,3,3,3,2,1
CAN-7EWA1CEXU0,2,3,2,3,2,2
CAN-G0YNL7EGC4,3,3,3,3,1,1
CAN-2HE66Z1PCJ,3,3,3,3,2,2
CAN-J6L384U1LG,3,3,3,3,2,2
CAN-IPII0E5DLT,3,3,3,3,2,2
CAN-ND96EXI4EE,3,3,3,3,2,0
CAN-SZ3MK97K2Z,3,3,3,3,2,1
CAN-X3LKCF3BUH,3,3,3,3,2,2
CAN-XXHNN3IF5L,3,3,3,3,2,1
CAN-UXHS144R9C,3,2,2,2,2,1
CAN-4J78IMA3Y1,3,3,3,3,2,1
CAN-ZE5TYBKI30,3,3,3,3,1,0
CAN-1DBVHKQRS4,3,3,3,3,2,2
CAN-NL6FBZTAH9,3,2,4,2,2,1
CAN-F94U3N6D7E,3,3,3,3,2,1
CAN-R200K8MNRL,2,4,3,2,2,1
CAN-CQXD0TIS5J,3,3,3,3,2,0
CAN-CX7WHQUW5X,2,3,3,2,1,1
CAN-FW1F6FS1R5,3,2,3,3,1,2
CAN-N8TYV8M53P,3,3,1,3,2,2
CAN-KUKS069BB4,3,3,3,3,2,2
CAN-E5DHE2JD6F,2,3,3,3,2,1
CAN-22C4JMHDD1,1,3,3,3,1,0
CAN-9VYHM0PSVP,2,3,3,3,2,1
CAN-RLOR8BFIES,3,3,3,2,2,0
CAN-4EA5JLIRD2,3,3,3,3,2,0
CAN-5LS40EOPEK,3,2,3,3,3,2
CAN-Z33ALI17FK,3,3,3,3,2,1
CAN-XYO5QC8JI5,3,3,3,3,2,1
CAN-IAN8ZZBEPH,2,2,3,3,2,0
CAN-5QP4935AEU,3,3,3,2,1,2
CAN-48TGU5XPBQ,3,3,3,4,1,1
CAN-SWZFGBMBEE,3,3,3,2,2,1
CAN-SR7RMC873R,3,3,3,3,2,1
CAN-RVVSG9GAPJ,3,3,3,2,2,2
CAN-AN3NGBXQLQ,3,3,3,2,2,0
CAN-P7BG2CLIYN,2,3,3,3,0,1
CAN-BVDFU4FSWE,3,3,3,3,1,1
CAN-DV32LDY5QU,3,3,3,3,2,2
CAN-K5KR8ZL6K4,3,3,3,3,2,2
CAN-0DILQJHEXO,3,3,3,3,2,1
CAN-8S11JFISCS,3,3,3,3,2,1
CAN-XU63I8PR57,3,3,3,3,2,1
CAN-YA1QGYU8FD,3,3,3,3,2,1
CAN-B8LFAAGEZA,3,3,3,3,2,1
CAN-O0SM0ALN3C,3,3,3,3,2,0
CAN-8FXEGNEXJS,3,6,4,3,2,2
CAN-P62EXSST7Q,2,3,3,3,2,1
CAN-8106RWSSRX,2,2,3,3,2,1
CAN-HWM0AQNR2L,3,3,3,3,2,2
CAN-HE7Q202YWE,4,3,3,6,1,2
CAN-XA9KU2IZ1B,2,3,3,3,2,2
CAN-VGKMTWTMLR,3,3,3,3,2,1
CAN-K3UYHZZHX5,3,3,3,3,1,2
CAN-2GBKVQTAOP,3,3,3,3,2,1
CAN-RGAJ1VIHYI,3,3,3,3,2,1
CAN-X85MTTCMBB,2,2,3,3,2,2
CAN-LY21STGO5M,2,2,3,3,2,1
CAN-3YEL4UAE02,3,3,3,3,2,2
CAN-NND6ZD2Y3W,3,3,3,2,2,2
CAN-00P56JV484,3,3,3,3,2,1
CAN-UK0RGAXFQY,3,2,3,3,2,2
CAN-1EF9T0H5UY,3,3,3,3,2,0
CAN-L5HJ4J9F1Q,3,3,3,2,3,1
CAN-VXCZPW42N0,3,3,3,3,1,1
CAN-UAQAX3CSPM,3,2,3,3,2,2
CAN-MZ8TDG8XSC,2,0,3,0,0,0
CAN-OOGDP9W44M,1,3,3,3,2,0
CAN-AUTHNCYNH6,3,3,3,3,2,1
CAN-4CKVLH2VRV,3,3,3,3,2,0
CAN-DYE38UZRYO,3,3,3,3,1,2
CAN-Q3JM4NJXCM,2,3,3,2,2,2
CAN-6V5U6RG2WD,3,3,3,3,2,1
CAN-FXGQ70VDF6,3,2,3,3,2,1
CAN-3ZWOLT52IK,2,3,3,3,1,1
CAN-7CI5CNFS9W,3,2,3,3,2,1
CAN-M5Y8KZ5E76,2,3,3,3,1,0
CAN-6M1GZ6DTBE,3,2,3,3,0,1
CAN-SEYEB1ZSSF,3,2,3,1,2,2
CAN-HBDFN23R8K,4,2,3,3,2,1
CAN-XD9A7TVPI2,2,3,3,3,2,1
CAN-F8N3CRIOBP,2,1,3,2,2,1
CAN-EHFT23OVVG,3,3,3,3,2,1
CAN-4QJMNSCVQ7,3,3,3,3,2,0
CAN-MWG162BPL5,3,3,2,2,2,0
CAN-6RUAWC87K9,2,3,3,3,2,1
CAN-S0O62URGCO,3,3,3,2,1,2
CAN-MNPS146NX2,3,3,3,3,2,2
CAN-2HVV255QOD,3,3,3,3,2,0
CAN-EKQQOAOPV4,3,1,3,3,2,2
CAN-CVCLZGGORS,3,3,3,3,2,1
CAN-EHWIVCR0FP,3,2,3,3,1,2
CAN-5XUD5PU8H0,2,3,3,2,2,1
CAN-NC5QCRDQ07,3,3,2,3,2,2
CAN-XQSDCFZ1IS,3,3,3,3,2,2
CAN-7VPHGIZPH8,3,3,3,3,2,1
CAN-SYCHXI76DS,3,3,3,3,2,0
CAN-5HI9VC7BVA,2,3,5,2,2,1
CAN-EOWRBSMR5J,2,3,3,2,1,0
CAN-LI6MXFL64U,3,3,3,3,2,2
CAN-B9LCNYNBEX,3,3,3,2,2,1
CAN-XKB8801EOE,3,2,2,2,2,2
CAN-5MD4OXWXBU,1,1,3,3,2,2
CAN-K2E9AENTEW,2,2,3,1,2,2
CAN-2KBPB1PV73,3,2,3,2,1,0
CAN-RXAZUU87ZF,4,3,3,3,2,2
CAN-4RZ3D8UTRS,6,5,3,5,2,3
CAN-Q6G6XRJ1W4,3,2,3,3,2,1
CAN-E8DPUK67FV,2,3,3,3,2,0
CAN-M6JR6NL09J,3,3,3,2,2,2
CAN-28L0V7ZSNI,3,3,3,2,2,1
CAN-RFSHDUG5NB,2,1,3,3,1,2
CAN-AUKDROUFUV,3,3,3,4,2,2
CAN-PTQGMMU4X8,1,3,3,3,2,2
CAN-30G2I5D7QB,3,3,3,2,2,2
CAN-2PRMDXN6AG,3,3,3,3,2,1
CAN-6YJ0CICBZS,3,3,3,3,2,1
CAN-HNL15PYSFT,2,2,3,3,2,1
CAN-TKOOJAZPXM,2,2,3,3,2,1
CAN-O9HABZH7SV,1,3,3,2,1,2
CAN-0N5G8XH0L8,3,3,3,3,2,2
CAN-FXNXYPZJMA,3,3,3,2,2,1
CAN-GMZYZ8YMDL,4,3,3,3,2,0
CAN-ZX17TJBVFN,0,0,3,0,0,0
CAN-ODSN5KMQIY,3,3,3,3,2,1
CAN-JZ6OPOSBD5,3,2,3,3,2,2
CAN-HY15EM7L9M,3,3,3,3,2,0
CAN-RGZMTODDYB,3,3,3,4,2,3
CAN-ABVZF2G56F,3,3,3,2,2,0
CAN-VPHHW98E7H,3,3,3,3,2,2
CAN-428L2VHG1E,3,3,3,3,1,2
CAN-DPDFPEIA1F,2,3,3,2,2,2
CAN-UR1C4JP4VO,3,2,3,2,2,1
CAN-DOAKO4NNLZ,2,4,3,3,2,2
CAN-M39URHQ06V,3,3,4,3,2,2
CAN-UZSBW8DOL7,3,3,3,2,2,2
CAN-QLTRQNSPOS,2,3,3,2,2,2
CAN-N528AY7Q9Q,3,3,3,2,2,1
CAN-YC2YCI2VDS,3,3,3,3,2,1
CAN-7UQK6HCYNQ,1,3,3,1,2,1
CAN-KCQ7ULW6WP,4,3,3,2,2,2
CAN-6T6VRW0DWV,3,3,3,3,2,1
CAN-D2NQFXESTT,2,1,3,3,2,2
CAN-ZSGTTG0DNE,2,3,3,2,2,2
CAN-HQR33B163A,3,2,3,3,2,0
CAN-CLUWTDD3OD,3,2,3,3,1,2
CAN-4TZOTI9CN0,3,3,3,2,2,0
CAN-9KH57ZZTZJ,3,3,3,3,2,1
CAN-Y95V2NTXS2,3,3,4,4,2,2
CAN-WCLR9UT9NQ,3,2,3,3,2,2
CAN-WNP8XEXHDP,2,2,3,3,2,0
CAN-M4XWJ4A42R,3,3,3,2,2,2
CAN-DZXEHKO5JZ,3,3,3,2,2,2
CAN-5QWCVZO8OR,3,3,3,3,2,1
CAN-K3VNYIY96A,3,3,3,3,2,1
CAN-XKHYH1E3D0,2,3,3,3,0,0
CAN-62XF9663Q5,3,3,3,3,2,2
CAN-V2LD67PS91,2,3,3,2,2,2
CAN-OK8BUFZ5HJ,3,3,3,3,2,2
CAN-531EC6XM0A,3,3,3,2,2,2
CAN-8U0IE41Z6E,3,3,3,3,2,1
CAN-7MLU6W4G40,3,3,3,3,2,2
CAN-L8HR3JPCDQ,2,3,3,3,2,1
CAN-EE6C2FOBNF,2,1,3,3,2,2
CAN-AER426PWKP,3,3,2,3,2,2
CAN-HXUZZG7XVC,2,3,3,3,1,2
CAN-HQR8H76TF6,3,3,3,3,2,1
CAN-E41H0ZL36A,3,3,3,2,2,2
CAN-7FWCOSSME8,3,3,3,2,2,1
CAN-BJ8AZ2S8CO,3,3,3,3,2,0
CAN-38K4CR3UE5,3,3,3,3,2,2
CAN-CX3R5H742A,3,2,3,3,2,2
CAN-Z6DVM0PEY7,3,3,3,2,1,1
CAN-8AHXHQVUH3,3,3,3,3,2,0
CAN-4H33N9UFAP,2,3,3,2,2,2
CAN-1FVTWXN7SL,3,2,3,2,2,0
CAN-STFR13OJLS,3,3,3,3,2,1
CAN-STEDHLAM67,3,3,3,2,2,2
CAN-OM0PB7SM0Z,3,3,3,3,2,0
CAN-SR7CVIPO58,2,3,3,3,2,2
CAN-ZW4EUIY1ID,3,3,3,3,2,1
CAN-UIDN5ZBC7H,3,3,3,3,2,1
CAN-67OMTG7ZRO,3,3,3,3,2,1
CAN-AYSV4AE7BK,3,3,3,2,2,2
CAN-B0M82W6I26,3,3,3,4,1,2
CAN-KC3A8JTS1G,2,3,3,2,2,1
